"district","year","week","total_cases"
"Wakiso District",2022,1,3216
"Wakiso District",2022,25,3271
"Wakiso District",2022,27,3177
"Wakiso District",2022,28,3147
"Wakiso District",2022,31,2949
"Wakiso District",2022,33,2927
"Wakiso District",2022,7,1550
"Kween District",2022,19,266
"Kween District",2022,21,45
"Kween District",2022,22,116
"Kween District",2022,23,149
"Kween District",2022,24,203
"Kween District",2022,25,231
"Kween District",2022,26,240
"Kween District",2022,30,359
"Kween District",2022,44,254
"Kween District",2022,52,200
"Kampala District",2022,10,3572
"Kampala District",2022,26,5008
"Kampala District",2022,28,4237
"Kampala District",2022,32,3869
"Kampala District",2022,33,3329
"Kampala District",2022,34,3344
"Kampala District",2022,36,3353
"Kampala District",2022,37,2854
"Kampala District",2022,39,3447
"Kampala District",2022,40,3642
"Kampala District",2022,46,3508
"Kampala District",2022,47,3871
"Kampala District",2022,48,4300
"Kampala District",2022,51,1772
"Yumbe District",2022,1,6818
"Yumbe District",2022,10,4797
"Yumbe District",2022,11,4864
"Yumbe District",2022,12,4352
"Yumbe District",2022,13,4236
"Yumbe District",2022,14,4018
"Yumbe District",2022,15,4282
"Yumbe District",2022,16,3728
"Yumbe District",2022,17,5075
"Yumbe District",2022,18,6523
"Yumbe District",2022,19,9738
"Yumbe District",2022,2,5686
"Yumbe District",2022,20,8800
"Yumbe District",2022,21,10435
"Yumbe District",2022,22,10481
"Yumbe District",2022,23,11542
"Yumbe District",2022,24,11778
"Yumbe District",2022,25,10161
"Yumbe District",2022,26,8300
"Yumbe District",2022,27,8748
"Yumbe District",2022,28,10410
"Yumbe District",2022,29,9393
"Yumbe District",2022,3,5590
"Yumbe District",2022,30,9163
"Yumbe District",2022,31,9468
"Yumbe District",2022,32,6675
"Yumbe District",2022,33,8523
"Yumbe District",2022,34,7564
"Yumbe District",2022,35,8163
"Yumbe District",2022,36,9071
"Yumbe District",2022,37,9455
"Yumbe District",2022,38,10756
"Yumbe District",2022,39,7309
"Yumbe District",2022,4,5414
"Yumbe District",2022,40,9404
"Yumbe District",2022,41,10360
"Yumbe District",2022,43,11717
"Yumbe District",2022,45,8804
"Yumbe District",2022,47,5418
"Yumbe District",2022,48,6223
"Yumbe District",2022,49,6378
"Yumbe District",2022,5,5518
"Yumbe District",2022,50,3842
"Yumbe District",2022,52,2634
"Yumbe District",2022,6,6067
"Yumbe District",2022,7,6295
"Yumbe District",2022,8,6254
"Yumbe District",2022,9,5138
"Wakiso District",2022,18,3264
"Wakiso District",2022,19,3005
"Wakiso District",2022,2,3184
"Wakiso District",2022,26,3983
"Wakiso District",2022,29,2839
"Wakiso District",2022,3,2388
"Wakiso District",2022,30,2812
"Wakiso District",2022,32,2342
"Wakiso District",2022,34,3196
"Wakiso District",2022,35,3310
"Wakiso District",2022,36,3287
"Wakiso District",2022,37,3222
"Wakiso District",2022,38,3416
"Wakiso District",2022,39,3699
"Wakiso District",2022,4,2546
"Wakiso District",2022,40,3375
"Wakiso District",2022,41,3937
"Wakiso District",2022,42,3293
"Wakiso District",2022,43,3711
"Wakiso District",2022,44,4170
"Wakiso District",2022,45,4659
"Wakiso District",2022,46,4174
"Wakiso District",2022,47,3863
"Wakiso District",2022,48,4645
"Wakiso District",2022,49,4278
"Wakiso District",2022,50,2412
"Wakiso District",2022,51,2308
"Wakiso District",2022,52,2605
"Wakiso District",2022,6,1749
"Wakiso District",2022,8,1801
"Kasese District",2022,1,2495
"Kasese District",2022,10,3191
"Kasese District",2022,13,2556
"Kasese District",2022,14,2072
"Kasese District",2022,16,3989
"Kasese District",2022,17,4342
"Kasese District",2022,20,2588
"Kasese District",2022,21,3565
"Kasese District",2022,22,4278
"Kasese District",2022,23,4280
"Kasese District",2022,24,3969
"Kasese District",2022,25,4073
"Kasese District",2022,26,3978
"Kasese District",2022,27,4141
"Kasese District",2022,28,4730
"Kasese District",2022,29,4535
"Kasese District",2022,30,4242
"Kasese District",2022,31,3992
"Kasese District",2022,32,3247
"Kasese District",2022,35,2504
"Kasese District",2022,36,2492
"Kasese District",2022,37,2346
"Kasese District",2022,38,2631
"Kasese District",2022,39,3994
"Kasese District",2022,4,6550
"Kasese District",2022,40,4478
"Kasese District",2022,41,3613
"Kasese District",2022,42,2939
"Kasese District",2022,43,3167
"Kasese District",2022,44,2687
"Kasese District",2022,45,2753
"Kasese District",2022,46,1220
"Kasese District",2022,47,1948
"Kasese District",2022,48,2159
"Kasese District",2022,49,1754
"Kasese District",2022,5,5330
"Kasese District",2022,50,1639
"Kasese District",2022,8,4407
"Kasese District",2022,9,3248
"Pallisa District",2022,1,3544
"Pallisa District",2022,10,3854
"Pallisa District",2022,11,4004
"Pallisa District",2022,13,2388
"Pallisa District",2022,14,2253
"Pallisa District",2022,17,1616
"Pallisa District",2022,18,1934
"Pallisa District",2022,2,2339
"Pallisa District",2022,23,3838
"Pallisa District",2022,26,2103
"Pallisa District",2022,27,3709
"Pallisa District",2022,28,3999
"Pallisa District",2022,29,4086
"Pallisa District",2022,30,4031
"Pallisa District",2022,31,2495
"Pallisa District",2022,32,3130
"Pallisa District",2022,33,2080
"Pallisa District",2022,35,2211
"Pallisa District",2022,36,2529
"Pallisa District",2022,37,2224
"Pallisa District",2022,38,2879
"Pallisa District",2022,40,2597
"Pallisa District",2022,41,2372
"Pallisa District",2022,42,2328
"Pallisa District",2022,43,2619
"Pallisa District",2022,44,3524
"Pallisa District",2022,45,2865
"Pallisa District",2022,47,3976
"Pallisa District",2022,49,3516
"Pallisa District",2022,50,3190
"Pallisa District",2022,51,2499
"Pallisa District",2022,52,2197
"Pallisa District",2022,6,2535
"Pallisa District",2022,7,2952
