"location_id","national","region","district","subcounty","facility","location_name","rdt_stock","year","week","q1","q3","iqr","potential_outlier"
"ABv45SiQmhO","MOH - Uganda","North Central","Mityana District","Busimbi Division","Mityana Nakaseeta HC II","Mityana Nakaseeta HC II",27625,2022,28,639.5,10150,9510.5,1
"AECp7SuwokS","MOH - Uganda","Teso","Amuria District","Wera Subcounty","St. Michael-Wera HC III","St. Michael-Wera HC III",3575,2022,31,200,1330,1130,1
"AIWpt7rgU47","MOH - Uganda","South Central","Kyotera District","Nabigasa Subcounty","Nakatoogo HC II","Nakatoogo HC II",4000,2022,21,58.75,1595.625,1536.875,1
"ARgkmShGpuT","MOH - Uganda","Ankole","Isingiro District","Nyamuyanja Subcounty","Katanoga HC II","Katanoga HC II",7735,2022,52,205.7,2698.95,2493.25,1
"AT6wxdMK8PV","MOH - Uganda","Ankole","Kiruhura District","Kenshunga Subcounty","Rwabigyemano HC III","Rwabigyemano HC III",16000,2022,23,207.5,3777.75,3570.25,1
"AZRfSZ46cbp","MOH - Uganda","West Nile","Obongi District","Ewafa Subcounty","Aliba HC III","Aliba HC III",18000,2022,9,142.8,5653.74999999998,5510.94999999998,1
"BB0ZbzgGBl2","MOH - Uganda","Teso","Soroti City","Northern Division (Soroti MC)","Soroti Women Prison HC II","Soroti Women Prison HC II",616,2022,4,12.2,106.2,94,1
"BE5LiYZjBvM","MOH - Uganda","South Central","Butambala District","Kalamba Subcounty","Kabasanda HC II","Kabasanda HC II",8650,2022,38,70,2395.00000000001,2325.00000000001,1
"C7aRTKKbxEP","MOH - Uganda","West Nile","Yumbe District","Drajini Subcounty","Dramba HC III","Dramba HC III",10000,2022,7,209.5,1008,798.5,1
"C9Kvzwphv8J","MOH - Uganda","Bugisu","Mbale City","Mbale Industrial Division","Busamaga HC III","Busamaga HC III",31110,2022,13,68.75,7488.5,7419.75,1
"CJElkDJPuqa","MOH - Uganda","Ankole","Sheema District","Kitagata Subcounty","Kyeibanga HC III","Kyeibanga HC III",24000,2022,29,83.6,8967.50000000001,8883.90000000001,1
"CQqWk34vLNB","MOH - Uganda","Bukedi","Tororo District","Eastern Division (Tororo MC)","TASO Tororo Special Clinic","TASO Tororo Special Clinic",575,2022,22,2,200,198,1
"CeThdXtRHzx","MOH - Uganda","Teso","Serere District","Kateta Subcounty","Kateta Ngo HC II","Kateta Ngo HC II",3072,2022,5,56.25,450,393.75,1
"CijKO0Edzep","MOH - Uganda","South Central","Lwengo District","Lwengo Subcounty","Mbirizi Muslim HC III","Mbirizi Muslim HC III",1000,2022,41,22.25,347.499999999999,325.249999999999,1
"CwPZMYQPea5","MOH - Uganda","Bugisu","Bulambuli District","Sisiyi Subcounty","Bumugusha HC III","Bumugusha HC III",111750,2022,12,100,17475.0000000001,17375.0000000001,1
"D63IKQOEOlL","MOH - Uganda","Tooro","Bundibugyo District","Kirumya Subcounty","Bundimulangya HC II","Bundimulangya HC II",15000,2022,27,208,4650.00000000002,4442.00000000002,1
"DAcqiebFOcd","MOH - Uganda","North Central","Luwero District","Butuntumula Subcounty","St. Mary's Kasaala HC III","St. Mary's Kasaala HC III",14500,2022,27,145,4258.00000000002,4113.00000000002,1
"DJj3j0lGtlA","MOH - Uganda","Kigezi","Kabale District","Kitumba Subcounty","Kijurera HC II","Kijurera HC II",3000,2022,1,188.2,894.599999999999,706.399999999998,1
"DUIjxnnEApZ","MOH - Uganda","Tooro","Kasese District","Lubiriha Town Council","Kasanga Phc HC III","Kasanga Phc HC III",10025,2022,18,42.5,2247.49999999999,2204.99999999999,1
"DXmJVAw33mJ","MOH - Uganda","Teso","Serere District","Serere Town Council","Serere HC IV","Serere HC IV",899789,2022,48,250,202997,202747,1
"DZF9rPxVxuv","MOH - Uganda","Bukedi","Pallisa District","Pallisa Town Council","Pallisa Town Council HC III","Pallisa Town Council HC III",38925,2022,1,4330,15675,11345,1
"DeLCxOv0IDy","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bukhalu HC III","Bukhalu HC III",11000,2022,33,95,3162.49999999998,3067.49999999998,1
"EC1LoiV2HmY","MOH - Uganda","Kigezi","Kanungu District","Kambuga Subcounty","Nyarutojo HC II","Nyarutojo HC II",17509,2022,39,106.95,4433.57499999996,4326.62499999996,1
"EEuh52Rx0HI","MOH - Uganda","Bukedi","Butebo District","Kanyum Subcounty","Kanyumu HC II","Kanyumu HC II",71000,2022,31,250,14365.625,14115.625,1
"Eu7L6ZmhA4R","MOH - Uganda","North Central","Buikwe District","Ngogwe Subcounty","Kikwayi HC II","Kikwayi HC II",13000,2022,34,283.75,2883.125,2599.375,1
"F3r8Fr87Bnx","MOH - Uganda","South Central","Butambala District","Bulo Subcounty","Maria Assumpta HC III","Maria Assumpta HC III",11480,2022,39,6,3532.37499999998,3526.37499999998,1
"F7LKQNLd8M6","MOH - Uganda","West Nile","Terego District","Odupi Subcounty","Siripi HC III","Siripi HC III",68500,2022,41,271.25,14906.25,14635,1
