"location_id","national","region","district","subcounty","facility","location_name","suspected","year","week","q1","q3","iqr","potential_outlier"
"AT6wxdMK8PV","MOH - Uganda","Ankole","Kiruhura District","Kenshunga Subcounty","Rwabigyemano HC III","Rwabigyemano HC III",6996,2022,47,57.3,327.55,270.25,1
"Az3dr4kZboc","MOH - Uganda","Acholi","Gulu City","Gulu West","Charity Medical Centre","Charity Medical Centre",415,2022,25,20,94,74,1
"BzFOI8BjIMz","MOH - Uganda","South Central","Wakiso District","Masuliita Town Council","Kiziba Catholic/Kiziba St. Ulrika HC III","Kiziba Catholic/Kiziba St. Ulrika HC III",255,2022,22,17.5,64,46.5,1
"C46L5bEGtcn","MOH - Uganda","Bugisu","Mbale City","Mbale Industrial Division","SDA HC III","SDA HC III",74,2022,13,29.4,44.4,15,1
"CijKO0Edzep","MOH - Uganda","South Central","Lwengo District","Lwengo Subcounty","Mbirizi Muslim HC III","Mbirizi Muslim HC III",89,2022,18,31,53.875,22.875,1
"DQT0OSOZ3sf","MOH - Uganda","South Central","Lwengo District","Kyazanga Subcounty","St. Peter,Busibo","St. Peter,Busibo",759,2022,45,55.2,275.224999999998,220.024999999998,1
"DbISdEaBLk6","MOH - Uganda","Busoga","Bugweri District","Idudi Town Council","New Life Medical Centre HC II","New Life Medical Centre HC II",71,2022,19,4.8,29.6000000000001,24.8000000000001,1
"EBCRwGo5bqm","MOH - Uganda","Tooro","Bunyangabu District","Kabonero Subcounty","Rwagimba HC III","Rwagimba HC III",655,2022,24,15.2,154.8,139.6,1
"EKPCmrHaBSg","MOH - Uganda","Busoga","Iganga District","Central Division (Iganga MC)","Iganga Hospital","Iganga Hospital",1166,2022,34,170.5,563,392.5,1
"EYFKJlJa6Mp","MOH - Uganda","West Nile","Maracha District","Yivu Subcounty","Loinya HC II","Loinya HC II",874,2022,30,65.15,277.225,212.075,1
"EYaoFJ7u4nr","MOH - Uganda","Karamoja","Nabilatuk District","Lorengedwat Subcounty","Lorengedwat HC III","Lorengedwat HC III",1047,2022,39,86.2,362.25,276.05,1
"F2hXRn6Ctfr","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Faith Orthopedic Clinic HC II","Faith Orthopedic Clinic HC II",120,2022,9,5,18.3499999999997,13.3499999999997,1
"FICwy0lTFNW","MOH - Uganda","Busoga","Mayuge District","Bukabooli Subcounty","Bugoto HC II","Bugoto HC II",2112,2022,27,32,257,225,1
"FtIIuxEaVdq","MOH - Uganda","Busoga","Bugiri District","Bulesa Subcounty","God's Mercy Clinic","God's Mercy Clinic",190,2022,33,9.25,46.375,37.125,1
"GjiT4Fcwj6P","MOH - Uganda","North Central","Kyankwanzi District","Gayaza Subcounty","Kiyuni HC III","Kiyuni HC III",1971,2022,40,47.75,285.35,237.6,1
"H7B1Pk6eZoE","MOH - Uganda","West Nile","Yumbe District","Kei Subcounty","Tuliki HC II","Tuliki HC II",1339,2022,36,76.6,311.4,234.8,1
"HHDvc2TzPnl","MOH - Uganda","Bukedi","Pallisa District","Puti-Puti Subcounty","Mpongi HC III","Mpongi HC III",70720,2022,37,185.5,2450.4999999999,2264.9999999999,1
"HXap310Pwnz","MOH - Uganda","Tooro","Kamwenge District","Rukunyu Town Council","Rukunyu Hospital","Rukunyu Hospital",1133,2022,10,85,396.7,311.7,1
"IkVvGrqJfm0","MOH - Uganda","Ankole","Ntungamo District","Eastern Division (Ntungamo MC)","Ruhoko HC III","Ruhoko HC III",822,2022,41,46.5,201.625,155.125,1
"InypOoNC7U0","MOH - Uganda","South Central","Lyantonde District","Lyakajura Subcounty","Kyemamba HC II","Kyemamba HC II",665,2022,4,16.15,129.8,113.65,1
"JP9pjuteIwh","MOH - Uganda","West Nile","Nebbi District","Kucwiny Subcounty","Rose of Sharon maternity Centre HC III","Rose of Sharon maternity Centre HC III",42,2022,40,6.9,18.2499999999999,11.3499999999999,1
"JlJEgbrfw9y","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","The Surgeon's Plaza HC II","The Surgeon's Plaza HC II",18,2022,9,2,7.87499999999999,5.87499999999999,1
"MfrOih2CtcR","MOH - Uganda","Tooro","Kasese District","Bugoye Subcounty","Rwenzori Mt. Services HC III","Rwenzori Mt. Services HC III",689,2022,20,3,155.400000000002,152.400000000002,1
"Ny6gpfiiHon","MOH - Uganda","Bugisu","Bukwo District","Chesower Subcounty","Chesower HC III","Chesower HC III",1301,2022,1,45.4,391.499999999999,346.099999999999,1
"OHSQd2FWUzu","MOH - Uganda","Tooro","Kasese District","Lake Katwe Subcounty","Lake Katwe Prison Clinic","Lake Katwe Prison Clinic",35,2022,32,1,12.9,11.9,1
"OdQ5ixGmXRt","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Luzira Women Prison HC III","Luzira Women Prison HC III",210,2022,25,2.4,35.6,33.2,1
