"district","year","week","tpr_district","tpr_status"
"Kampala District",2022,26,26.5992156862745,"3. 25-40%"
"Kampala District",2022,32,28.8171559633027,"3. 25-40%"
"Kampala District",2022,34,30.121619047619,"3. 25-40%"
"Kampala District",2022,36,31.352523364486,"3. 25-40%"
"Kampala District",2022,46,31.9429885057471,"3. 25-40%"
"Kampala District",2022,48,31.976,"3. 25-40%"
"Kampala District",2022,51,30.5922535211268,"3. 25-40%"
"Yumbe District",2022,1,69.6167857142857,"5. 55-70%"
"Yumbe District",2022,10,55.9408695652174,"5. 55-70%"
"Yumbe District",2022,11,51.5589473684211,"4. 40-55%"
"Yumbe District",2022,12,55.9459090909091,"5. 55-70%"
"Yumbe District",2022,13,53.1945833333333,"4. 40-55%"
"Yumbe District",2022,14,47.9946428571429,"4. 40-55%"
"Yumbe District",2022,15,46.8477272727273,"4. 40-55%"
"Yumbe District",2022,16,52.814,"4. 40-55%"
"Yumbe District",2022,17,57.4069230769231,"5. 55-70%"
"Yumbe District",2022,2,67.0741666666667,"5. 55-70%"
"Yumbe District",2022,22,71.1888,"6. >70%"
"Yumbe District",2022,23,76.4038461538461,"6. >70%"
"Yumbe District",2022,24,71.3138461538462,"6. >70%"
"Yumbe District",2022,29,74.0136,"6. >70%"
"Yumbe District",2022,3,66.7930769230769,"5. 55-70%"
"Yumbe District",2022,30,74.7681481481481,"6. >70%"
"Yumbe District",2022,32,71.3442857142857,"6. >70%"
"Yumbe District",2022,33,67.7644,"5. 55-70%"
"Yumbe District",2022,34,66.7842307692308,"5. 55-70%"
"Yumbe District",2022,35,69.8340740740741,"5. 55-70%"
"Yumbe District",2022,36,72.9372,"6. >70%"
"Yumbe District",2022,37,69.2603333333333,"5. 55-70%"
"Yumbe District",2022,38,72.6257692307693,"6. >70%"
"Yumbe District",2022,39,71.3027586206897,"6. >70%"
"Yumbe District",2022,4,67.09,"5. 55-70%"
"Yumbe District",2022,40,72.9606896551724,"6. >70%"
"Yumbe District",2022,41,71.0496551724138,"6. >70%"
"Yumbe District",2022,43,70.0666666666667,"6. >70%"
"Yumbe District",2022,44,72.6684615384615,"6. >70%"
"Yumbe District",2022,45,67.189,"5. 55-70%"
"Yumbe District",2022,46,68.1541176470588,"5. 55-70%"
