district,year,week,total_death
Fort Portal City,2022,52,3
Iganga District,2022,52,2
Kyenjojo District,2022,52,2
Kaberamaido District,2022,52,1
Pakwach District,2022,52,2
Tororo District,2022,52,2
Hoima City,2022,52,3
Amolatar District,2022,52,1
Mbarara City,2022,52,1
Namutumba District,2022,52,2
Ibanda District,2022,52,1
Masindi District,2022,52,1
Kampala District,2022,52,4
Kibaale District,2022,52,3
Kitgum District,2022,52,2
Ntungamo District,2022,51,1
Kyenjojo District,2022,51,2
Yumbe District,2022,51,1
Mbale City,2022,51,3
Pakwach District,2022,51,1
Hoima City,2022,51,2
Kiryandongo District,2022,51,1
Nabilatuk District,2022,51,1
Kakumiro District,2022,51,2
Fort Portal City,2022,50,4
Iganga District,2022,50,1
Kyenjojo District,2022,50,6
Yumbe District,2022,50,1
Mbale City,2022,50,4
Tororo District,2022,50,1
Kumi District,2022,50,1
Mukono District,2022,50,2
Kampala District,2022,50,2
Kibuku District,2022,50,1
Wakiso District,2022,50,1
Adjumani District,2022,50,2
Kibaale District,2022,50,3
Mayuge District,2022,50,1
Serere District,2022,50,1
Fort Portal City,2022,49,1
Buliisa District,2022,49,1
Lyantonde District,2022,49,1
Otuke District,2022,49,2
Arua City,2022,49,1
Madi-Okollo District,2022,49,1
Lamwo District,2022,49,1
Mbale City,2022,49,4
Kagadi District,2022,49,1
Nebbi District,2022,49,3
Kamuli District,2022,49,3
Kaberamaido District,2022,49,1
Pakwach District,2022,49,1
Tororo District,2022,49,3
Hoima City,2022,49,2
Kiryandongo District,2022,49,1
Namutumba District,2022,49,1
Kakumiro District,2022,49,1
Kibaale District,2022,49,1
Butambala District,2022,49,3
Serere District,2022,48,2
Fort Portal City,2022,48,3
Buliisa District,2022,48,1
Kyenjojo District,2022,48,1
Kamwenge District,2022,48,1
Mbale City,2022,48,2
Kaberamaido District,2022,48,1
Pakwach District,2022,48,1
Tororo District,2022,48,3
Hoima City,2022,48,5
Kiryandongo District,2022,48,1
Kumi District,2022,48,4
Gulu City,2022,48,1
Ibanda District,2022,48,2
Lamwo District,2022,48,3
Kakumiro District,2022,48,2
Kampala District,2022,48,1
Butambala District,2022,48,3
Kapchorwa District,2022,48,1
Busia District,2022,47,2
Fort Portal City,2022,47,1
Kyenjojo District,2022,47,1
Kamwenge District,2022,47,1
Mbale City,2022,47,4
Yumbe District,2022,47,2
Adjumani District,2022,47,1
Hoima City,2022,47,3
Amolatar District,2022,47,1
Mbarara City,2022,47,1
Budaka District,2022,47,1
Ibanda District,2022,47,2
Kikuube District,2022,47,1
Kampala District,2022,47,2
Kibuku District,2022,47,1
Alebtong District,2022,47,1
Zombo District,2022,47,1
Fort Portal City,2022,46,2
Mbale City,2022,46,4
Kakumiro District,2022,46,2
Kamuli District,2022,46,2
Kalungu District,2022,46,1
Pakwach District,2022,46,1
Hoima City,2022,46,4
Ibanda District,2022,46,1
Kampala District,2022,46,3
Kyegegwa District,2022,46,1
Butaleja District,2022,46,1
Kanungu District,2022,45,1
Fort Portal City,2022,45,4
Buliisa District,2022,45,2
Otuke District,2022,45,1
Yumbe District,2022,45,3
Lamwo District,2022,45,2
Mbale City,2022,45,4
Iganga District,2022,45,1
Nebbi District,2022,45,1
Kyotera District,2022,45,1
Tororo District,2022,45,1
Hoima City,2022,45,4
Kikuube District,2022,45,1
Ibanda District,2022,45,1
Nabilatuk District,2022,45,2
Omoro District,2022,45,1
Terego District,2022,45,1
Kampala District,2022,45,2
Kaabong District,2022,45,3
Alebtong District,2022,45,2
Masaka City,2022,45,1
Kitgum District,2022,45,1
Busia District,2022,44,2
Mitooma District,2022,44,1
Fort Portal City,2022,44,2
Iganga District,2022,44,1
Ntungamo District,2022,44,1
Arua City,2022,44,1
Yumbe District,2022,44,1
Kamwenge District,2022,44,1
Mbale City,2022,44,4
Koboko District,2022,44,1
Kaberamaido District,2022,44,1
Adjumani District,2022,44,1
Mbarara District,2022,44,1
Hoima City,2022,44,1
Kamuli District,2022,44,1
Mbarara City,2022,44,1
Ibanda District,2022,44,1
Kikuube District,2022,44,1
Rukungiri District,2022,44,1
Kampala District,2022,44,3
Kibuku District,2022,44,1
Kaabong District,2022,44,2
Masaka City,2022,44,1
Fort Portal City,2022,43,3
Iganga District,2022,43,2
Otuke District,2022,43,1
Kyenjojo District,2022,43,1
Yumbe District,2022,43,2
Kamwenge District,2022,43,1
Mbale City,2022,43,7
Nebbi District,2022,43,1
Kyotera District,2022,43,1
Pader District,2022,43,1
Buliisa District,2022,43,1
Nwoya District,2022,43,1
Pakwach District,2022,43,1
Koboko District,2022,43,1
Hoima City,2022,43,3
Kiryandongo District,2022,43,1
Kumi District,2022,43,2
Kiboga District,2022,43,1
Ibanda District,2022,43,1
Nabilatuk District,2022,43,1
Obongi District,2022,43,1
Bugweri District,2022,43,2
Nakaseke District,2022,43,1
Fort Portal City,2022,42,3
Iganga District,2022,42,1
Lamwo District,2022,42,1
Kamwenge District,2022,42,1
Mbale City,2022,42,5
Kagadi District,2022,42,1
Nebbi District,2022,42,2
Apac District,2022,42,1
Kyenjojo District,2022,42,1
Pakwach District,2022,42,1
Tororo District,2022,42,1
Hoima City,2022,42,2
Nabilatuk District,2022,42,1
Namutumba District,2022,42,2
