location_id,national,region,district,subcounty,facility,location_name,deaths,cases,year,week,percent_death
LLs45lStr4N,MOH - Uganda,Bugisu,Bulambuli District,Bukhalu Subcounty,Bumageni HC II,Bumageni HC II,50,50,2022,52,100
V1elCZIHIcR,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),Norvik Hospital,Norvik Hospital,23,23,2022,52,100
a24jrqnkYhl,MOH - Uganda,South Central,Rakai District,Lwamaggwa Subcounty,Bugona HC II,Bugona HC II,123,123,2022,52,100
fvyS0teVZIt,MOH - Uganda,South Central,Mpigi District,Kammengo Subcounty,St. Michael Kanyike HC III,St. Michael Kanyike HC III,13,13,2022,52,100
kiM2BOyZ1V6,MOH - Uganda,Kigezi,Kabale District,Kamuganguzi Subcounty,Kyasano HC II,Kyasano HC II,1,1,2022,52,100
C38yFfDluuD,MOH - Uganda,South Central,Mpigi District,Buwama Town Council,Buwama Medical Centre HC II,Buwama Medical Centre HC II,5,5,2022,51,100
LLs45lStr4N,MOH - Uganda,Bugisu,Bulambuli District,Bukhalu Subcounty,Bumageni HC II,Bumageni HC II,36,36,2022,51,100
QP3xbv4C32B,MOH - Uganda,Bunyoro,Kakumiro District,Igayaza Town Council,Igayaza HC III,Igayaza HC III,29,29,2022,51,100
TUvoY8j1BIC,MOH - Uganda,Lango,Oyam District,Otwal Subcounty,Hillcrest Drugshop,Hillcrest Drugshop,11,11,2022,51,100
fvyS0teVZIt,MOH - Uganda,South Central,Mpigi District,Kammengo Subcounty,St. Michael Kanyike HC III,St. Michael Kanyike HC III,6,6,2022,51,100
LLs45lStr4N,MOH - Uganda,Bugisu,Bulambuli District,Bukhalu Subcounty,Bumageni HC II,Bumageni HC II,61,61,2022,50,100
V1elCZIHIcR,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),Norvik Hospital,Norvik Hospital,15,15,2022,50,100
fvyS0teVZIt,MOH - Uganda,South Central,Mpigi District,Kammengo Subcounty,St. Michael Kanyike HC III,St. Michael Kanyike HC III,8,8,2022,50,100
m5bcdRygx9D,MOH - Uganda,Teso,Kapelebyong District,Acowa Subcounty,Angerepo HC II,Angerepo HC II,134,134,2022,50,100
qGM0ucFnYBQ,MOH - Uganda,Busoga,Jinja District,Kakira Town Council,Wairaka HC II,Wairaka HC II,47,47,2022,50,100
qwX7PRDoK0Z,MOH - Uganda,Bunyoro,Kakumiro District,Igayaza Town Council,Kagame HC III,Kagame HC III,10,10,2022,50,100
sCyAs9yytOk,MOH - Uganda,Busoga,Luuka District,Bukanga Subcounty,Suubi HC III,Suubi HC III,51,51,2022,50,100
LLs45lStr4N,MOH - Uganda,Bugisu,Bulambuli District,Bukhalu Subcounty,Bumageni HC II,Bumageni HC II,56,56,2022,49,100
fvyS0teVZIt,MOH - Uganda,South Central,Mpigi District,Kammengo Subcounty,St. Michael Kanyike HC III,St. Michael Kanyike HC III,4,4,2022,49,100
F1E6OZRWxDc,MOH - Uganda,South Central,Wakiso District,Kajjansi Town Council,Nsaggu HC II,Nsaggu HC II,38,38,2022,48,100
LLs45lStr4N,MOH - Uganda,Bugisu,Bulambuli District,Bukhalu Subcounty,Bumageni HC II,Bumageni HC II,85,85,2022,48,100
TqyR7LbraHG,MOH - Uganda,Kampala,Kampala District,Nakawa Division,New Health Clinic HC II,New Health Clinic HC II,2,2,2022,48,100
fvyS0teVZIt,MOH - Uganda,South Central,Mpigi District,Kammengo Subcounty,St. Michael Kanyike HC III,St. Michael Kanyike HC III,15,15,2022,48,100
