"district","year","week","total_tx_stock","total_cases","tx_available","tx_stock_weeks","tx_stockout"
"Abim District",2022,1,714809,892,42047.5882352941,47.1385518332894,"Overstock"
"Abim District",2022,2,1143052,656,67238.3529411765,102.497489239598,"Overstock"
"Abim District",2022,3,656900,716,38641.1764705882,53.9681235622741,"Overstock"
"Abim District",2022,4,1246281,813,73310.6470588235,90.1729976123291,"Overstock"
"Abim District",2022,5,1188920,678,69936.4705882353,103.151136560819,"Overstock"
"Abim District",2022,6,794020,766,46707.0588235294,60.9752726155736,"Overstock"
"Abim District",2022,7,541396,660,31846.8235294118,48.2527629233512,"Overstock"
"Abim District",2022,8,776556,900,45679.7647058823,50.7552941176471,"Overstock"
"Abim District",2022,9,512446,865,30143.8823529412,34.8484189051343,"Overstock"
"Abim District",2022,10,501270,741,29486.4705882353,39.7928078113837,"Overstock"
"Abim District",2022,11,1162490,975,68381.7647058823,70.1351432880845,"Overstock"
"Abim District",2022,12,600450,1037,35320.5882352941,34.0603550967156,"Overstock"
"Abim District",2022,13,596622,729,35095.4117647059,48.1418542725732,"Overstock"
"Abim District",2022,14,1067779,506,62810.5294117647,124.131481050918,"Overstock"
"Abim District",2022,15,558463,714,32850.7647058823,46.0094743779865,"Overstock"
"Abim District",2022,16,484440,738,28496.4705882353,38.6131037780966,"Overstock"
"Abim District",2022,17,406036,668,23884.4705882353,35.7551954913702,"Overstock"
"Abim District",2022,18,433742,1013,25514.2352941176,25.1868068056443,"Overstock"
"Abim District",2022,19,286429,1224,16848.7647058824,13.7653306420607,"Adequate stock"
"Abim District",2022,20,326529,1011,19207.5882352941,18.998603595741,"Adequate stock"
"Abim District",2022,21,223530,1121,13148.8235294118,11.7295481975127,"Adequate stock"
"Abim District",2022,22,270073,1332,15886.6470588235,11.926912206324,"Adequate stock"
"Abim District",2022,23,635300,1987,37370.5882352941,18.8075431481098,"Adequate stock"
"Abim District",2022,24,604814,3438,35577.2941176471,10.3482530883208,"Adequate stock"
"Abim District",2022,25,1141480,2524,67145.8823529412,26.6029644821479,"Overstock"
"Abim District",2022,26,619147,1636,36420.4117647059,22.2618653818496,"Overstock"
"Abim District",2022,27,353780,957,20810.5882352941,21.7456512385518,"Overstock"
"Abim District",2022,28,383476,2018,22557.4117647059,11.1781029557512,"Adequate stock"
"Abim District",2022,29,434530,1741,25560.5882352941,14.6815555630638,"Adequate stock"
"Abim District",2022,30,424362,2179,24962.4705882353,11.4559295953352,"Adequate stock"
"Abim District",2022,31,363262,1345,21368.3529411765,15.8872512573803,"Adequate stock"
"Abim District",2022,32,267838,1648,15755.1764705882,9.5601798972016,"Adequate stock"
"Abim District",2022,33,244038,1238,14355.1764705882,11.5954575691343,"Adequate stock"
"Abim District",2022,34,158850,983,9344.11764705882,9.50571479863563,"Adequate stock"
"Abim District",2022,35,213580,778,12563.5294117647,16.1484953878724,"Adequate stock"
"Abim District",2022,36,916108,1077,53888.7058823529,50.0359386094271,"Overstock"
"Abim District",2022,37,1072403,1338,63082.5294117647,47.146882968434,"Overstock"
"Abim District",2022,38,584886,1821,34405.0588235294,18.8934974319217,"Adequate stock"
"Abim District",2022,39,373120,1094,21948.2352941176,20.0623722980966,"Overstock"
"Abim District",2022,40,429720,820,25277.6470588235,30.8263988522238,"Overstock"
"Abim District",2022,41,437098,749,25711.6470588235,34.327966700699,"Overstock"
"Abim District",2022,42,365936,1298,21525.6470588235,16.5837034351491,"Adequate stock"
"Abim District",2022,43,329663,1058,19391.9411764706,18.328866896475,"Adequate stock"
"Abim District",2022,44,285790,1036,16811.1764705882,16.2270043152396,"Adequate stock"
