"district","year","week","total_rdt_stock","total_suspected","rdt_stock_weeks","rdt_stockout"
"Abim District",2022,1,27142,1943,13.9691199176531,"Adequate stock"
"Abim District",2022,2,37584,1703,22.0692894891368,"Overstock"
"Abim District",2022,3,32091,1692,18.9663120567376,"Adequate stock"
"Abim District",2022,4,38231,1964,19.4658859470468,"Adequate stock"
"Abim District",2022,5,29657,1539,19.2703053931124,"Adequate stock"
"Abim District",2022,6,17858,1314,13.5905631659056,"Adequate stock"
"Abim District",2022,7,18456,1638,11.2673992673993,"Adequate stock"
"Abim District",2022,8,21983,2369,9.27944280287041,"Adequate stock"
"Abim District",2022,9,20436,1606,12.7247820672478,"Adequate stock"
"Abim District",2022,10,33591,1973,17.0253421186011,"Adequate stock"
"Abim District",2022,11,56856,2877,19.762252346194,"Adequate stock"
"Abim District",2022,12,41070,2497,16.4477372847417,"Adequate stock"
"Abim District",2022,13,54622,1905,28.6729658792651,"Overstock"
"Abim District",2022,14,46259,1491,31.0254862508384,"Overstock"
"Abim District",2022,15,48809,1405,34.7395017793594,"Overstock"
"Abim District",2022,16,43707,1834,23.8315158124318,"Overstock"
"Abim District",2022,17,46004,2135,21.5475409836066,"Overstock"
"Abim District",2022,18,40175,2514,15.9805091487669,"Adequate stock"
"Abim District",2022,19,55137,2910,18.9474226804124,"Adequate stock"
"Abim District",2022,20,52024,2813,18.4941343761109,"Adequate stock"
"Abim District",2022,21,56333,1964,28.6827902240326,"Overstock"
"Abim District",2022,22,54386,2143,25.3784414372375,"Overstock"
"Abim District",2022,23,74038,3175,23.3190551181102,"Overstock"
"Abim District",2022,24,108299,4987,21.716262281933,"Overstock"
"Abim District",2022,25,48123,3595,13.3860917941586,"Adequate stock"
"Abim District",2022,26,59647,2420,24.647520661157,"Overstock"
"Abim District",2022,27,28919,1563,18.5022392834293,"Adequate stock"
"Abim District",2022,28,38574,3169,12.1722940990849,"Adequate stock"
"Abim District",2022,29,42095,3071,13.7072614783458,"Adequate stock"
"Abim District",2022,30,37278,3168,11.7670454545455,"Adequate stock"
"Abim District",2022,31,38228,1853,20.6303291958985,"Overstock"
"Abim District",2022,32,62822,2342,26.8240819812126,"Overstock"
"Abim District",2022,33,35226,2005,17.5690773067332,"Adequate stock"
"Abim District",2022,34,27389,2030,13.492118226601,"Adequate stock"
"Abim District",2022,35,37894,1847,20.5165132647537,"Overstock"
"Abim District",2022,36,57052,2529,22.5591142744168,"Overstock"
"Abim District",2022,37,54080,3367,16.0617760617761,"Adequate stock"
"Abim District",2022,38,67013,3179,21.0798993394149,"Overstock"
"Abim District",2022,39,34655,3192,10.8568295739348,"Adequate stock"
"Abim District",2022,40,31625,1726,18.3227114716107,"Adequate stock"
"Abim District",2022,41,42896,2141,20.035497431107,"Overstock"
"Abim District",2022,42,35690,2495,14.3046092184369,"Adequate stock"
"Abim District",2022,43,35754,1747,20.4659416141958,"Overstock"
"Abim District",2022,44,32420,1477,21.9498984427894,"Overstock"
"Abim District",2022,45,35818,1584,22.6123737373737,"Overstock"
"Abim District",2022,46,7750,553,14.0144665461121,"Adequate stock"
"Abim District",2022,47,33848,1148,29.4843205574913,"Overstock"
"Abim District",2022,48,56086,2433,23.0521989313605,"Overstock"
"Abim District",2022,49,62757,2607,24.07249712313,"Overstock"
"Abim District",2022,50,38071,1649,23.0873256519102,"Overstock"
"Abim District",2022,51,32312,991,32.6054490413724,"Overstock"
"Abim District",2022,52,30464,981,31.0540265035678,"Overstock"
"Adjumani District",2022,1,22919,4000,5.72975,"Understock"
"Adjumani District",2022,2,26856,4235,6.34144037780401,"Understock"
"Adjumani District",2022,3,60803,4598,13.223792953458,"Adequate stock"
"Adjumani District",2022,4,40684,4562,8.91801841297676,"Adequate stock"
"Adjumani District",2022,5,44759,5172,8.65409899458623,"Adequate stock"
"Adjumani District",2022,6,109970,5061,21.7289073305671,"Overstock"
"Adjumani District",2022,7,123236,4909,25.1040945202689,"Overstock"
"Adjumani District",2022,8,108517,6387,16.9902927822139,"Adequate stock"
"Adjumani District",2022,9,106636,4496,23.7179715302491,"Overstock"
"Adjumani District",2022,10,96157,4506,21.3397691966267,"Overstock"
"Adjumani District",2022,11,106290,5934,17.9120323559151,"Adequate stock"
"Adjumani District",2022,12,88745,5319,16.6845271667607,"Adequate stock"
"Adjumani District",2022,13,104063,4075,25.5369325153374,"Overstock"
