location_id,national,region,district,subcounty,facility,location_name,cases,year,week,q1,q3,iqr,potential_outlier
uiIUQsgVTAj,MOH - Uganda,Bugisu,Namisindwa District,Bumbo Town Council,Bumbo HC III,Bumbo HC III,518,2022,52,30.3,224.55,194.25,1
J77zWm3xXbx,MOH - Uganda,Kampala,Kampala District,Makindye Division,Zaam Medical Centre Katwe HC III,Zaam Medical Centre Katwe HC III,42,2022,50,1,13.5,12.5,1
Kq6r9wr36GH,MOH - Uganda,Kampala,Kampala District,Nakawa Division,Luzira Upper Prison HC III,Luzira Upper Prison HC III,72,2022,49,4,21.325,17.325,1
K17kI4DiiW4,MOH - Uganda,Lango,Oyam District,Minakulu Town Council,His Grace Medical Centre HC II,His Grace Medical Centre HC II,280,2022,48,18.3,49.85,31.55,1
Pt5JdbbEF6k,MOH - Uganda,Lango,Oyam District,Ngai Subcounty,Ageno Drugshop,Ageno Drugshop,348,2022,45,2,10.925,8.925,1
OZm6EKHBeMU,MOH - Uganda,Busoga,Jinja City,Mafubira Subcounty,St. Benedict's HC III,St. Benedict's HC III,144,2022,45,10.05,50.95,40.9,1
kG0Pg9QsbJM,MOH - Uganda,Acholi,Gulu City,Gulu West,St. Nektarios Orthodox HC III,St. Nektarios Orthodox HC III,97,2022,45,2,15.55,13.55,1
mvcNk6uSThn,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),"International Medical Centre, Kololo HC II","International Medical Centre, Kololo HC II",60,2022,45,2,22.05,20.05,1
toGKbXMtRf8,MOH - Uganda,Ankole,Kazo District,Engari Subcounty,Engari Community HC III,Engari Community HC III,16,2022,45,1,6.375,5.375,1
XazfKCvCCLS,MOH - Uganda,Lango,Amolatar District,Amolatar Town Council,Amolatar HC IV,Amolatar HC IV,1500,2022,44,26.4,332.2,305.8,1
efN24flmJeb,MOH - Uganda,Tooro,Bunyangabu District,Kisomoro Subcounty,Kisomoro HC III,Kisomoro HC III,282,2022,44,4.6,80.4,75.8,1
cOpgsVK1JpT,MOH - Uganda,Ankole,Ntungamo District,Nyamukana Town Council,Buhanama HC II,Buhanama HC II,57,2022,44,1,9,8,1
aK4gwJ4rOvw,MOH - Uganda,Busoga,Bugiri District,Nabukalu Subcounty,Wangobo HC II,Wangobo HC II,8640,2022,43,28.6,1828.8,1800.2,1
yEukLFOEQ1X,MOH - Uganda,Acholi,Omoro District,Odek Subcounty,Dino HC II,Dino HC II,855,2022,43,32.125,267.5,235.375,1
cVZrPQHkHcg,MOH - Uganda,North Central,Nakasongola District,Nabiswera Subcounty,Buyamba HC II,Buyamba HC II,588,2022,43,13.65,159.825,146.175,1
