"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"A4szRIn3VJl","MOH - Uganda","Tooro","Kasese District","Rugendabara Town Council","RCRA Community Health HC III","RCRA Community Health HC III",25200,8,2022,23,4.725,7103.99999999996,7099.27499999996,1
"A6P3WOAXDru","MOH - Uganda","Tooro","Ntoroko District","Karugutu Town Council","Karugutu HC IV","Karugutu HC IV",405000,199,2022,30,418.275,129235.499999999,128817.224999999,1
"ASNyZE7TMLu","MOH - Uganda","Bunyoro","Masindi District","Kabango Town Council","Kinyara Sugar Works HC III","Kinyara Sugar Works HC III",29208,29,2022,20,34.5,8177.19999999996,8142.69999999996,1
"AZRfSZ46cbp","MOH - Uganda","West Nile","Obongi District","Ewafa Subcounty","Aliba HC III","Aliba HC III",50065004,80,2022,20,85832.7,3084992.19999986,2999159.49999986,1
"AaEPI9rSAtc","MOH - Uganda","South Central","Kalangala District","Kalangala Town Council","Shuhadah HC II","Shuhadah HC II",90,6,2022,4,3.95,31.0999999999998,27.1499999999998,1
"Adxinf4hk0o","MOH - Uganda","Busoga","Iganga District","Nawandala Subcounty","Buzaaya HC II","Buzaaya HC II",394200,477,2022,25,1588.5,124226.999999999,122638.499999999,1
"AhDvE2o9F3L","MOH - Uganda","Bukedi","Busia District","Dabani Subcounty","Dabani Hospital","Dabani Hospital",146700,16,2022,41,211.5,18360,18148.5,1
"AjwnALSnLrK","MOH - Uganda","South Central","Rakai District","Kyalulangira Subcounty","Kibaale HC II","Kibaale HC II",240624,20,2022,51,1003.35,12872.4,11869.05,1
"BttsyxGJcTm","MOH - Uganda","Tooro","Kamwenge District","Bihanga Subcounty (Kamwenge District)","Kabingo (Bihanga) HC II","Kabingo (Bihanga) HC II",28684800,126,2022,26,1093.5,7984889.99999996,7983796.49999996,1
"CRKrLT3w8EQ","MOH - Uganda","Bunyoro","Kikuube District","Bugambe Subcounty","Bugambe HC III","Bugambe HC III",353600,59,2022,17,80.35,65787.9999999991,65707.6499999991,1
"CbZsLxa0Zp6","MOH - Uganda","Bukedi","Budaka District","Katiira Subcounty","Katira HC III","Katira HC III",393360,218,2022,26,719.4,143038.5,142319.1,1
"CnzSBNkUBIH","MOH - Uganda","Busoga","Namayingo District","Banda Subcounty (Namayingo District)","Lico HC III","Lico HC III",15000,NA,2022,51,30.9,1015.6,984.7,1
"CyZwgWizfmy","MOH - Uganda","West Nile","Koboko District","Keri Town Council","Kuluba HC III","Kuluba HC III",11852220,351,2022,29,13435,243607.5,230172.5,1
"D5teAz2N7y8","MOH - Uganda","Kampala","Kampala District","Makindye Division","Praise God Clinic HC II","Praise God Clinic HC II",5184,26,2022,43,12.625,1260.5,1247.875,1
"DDbLsI5S91i","MOH - Uganda","West Nile","Terego District","Odupi Subcounty","Imvepi HC II","Imvepi HC II",1403820,160,2022,18,2559,532080,529521,1
"DVPFLWaZInR","MOH - Uganda","West Nile","Terego District","Katrini Subcounty","Wandi HC III","Wandi HC III",3700080,296,2022,21,34560,403200,368640,1
"DXPEWHcbZwC","MOH - Uganda","Karamoja","Amudat District","Loroo Subcounty","Achorichor HC II","Achorichor HC II",411214,15,2022,14,4081.2,65562.8499999995,61481.6499999995,1
"E1TxjBqAvWB","MOH - Uganda","South Central","Butambala District","Kalamba Subcounty","Epi-Centre Senge HC III","Epi-Centre Senge HC III",510000,31,2022,8,23197.5,72486,49288.5,1
"E2jcuqc9IP6","MOH - Uganda","Kampala","Kampala District","Makindye Division","Rhona Medical Centre HC II","Rhona Medical Centre HC II",600,1,2022,22,6.775,204.749999999999,197.974999999999,1
"EBmWiWJFu2L","MOH - Uganda","South Central","Lwengo District","Kkingo Subcounty","Nkoni HC III","Nkoni HC III",30000,75,2022,3,522.6,10234,9711.4,1
"EFkeFVpHY58","MOH - Uganda","South Central","Lyantonde District","Lyantonde Town Council","Good Will Medical Centre Clinic","Good Will Medical Centre Clinic",9728,12,2022,2,22.85,3701.59999999999,3678.74999999999,1
"EU9ZacQmfpW","MOH - Uganda","Kigezi","Kanungu District","Kanungu Town Council","Kanungu HC IV","Kanungu HC IV",268280,95,2022,3,720,48057,47337,1
"EcIA72s0pdw","MOH - Uganda","South Central","Lyantonde District","Lyantonde Town Council","Bulamu Medical Centre HC II","Bulamu Medical Centre HC II",960,15,2022,11,24,354.4,330.4,1
"Eg7Efn5rKSj","MOH - Uganda","North Central","Buvuma District","Lubya Subcounty","Namiti Health Centre HC II","Namiti Health Centre HC II",141884,12,2022,25,20.5,14265,14244.5,1
"F4phb7m6hiz","MOH - Uganda","West Nile","Adjumani District","Pachara Subcounty","Arra HC II","Arra HC II",911880,54,2022,32,29916,115272,85356,1
"FDGxZvsSQrY","MOH - Uganda","West Nile","Obongi District","Itula Subcounty","Kali HC II","Kali HC II",610920,133,2022,30,9321.75,102762.15,93440.4,1
"FqJORz2AePH","MOH - Uganda","Busoga","Jinja City","Mafubira Subcounty","Lwanda HC II","Lwanda HC II",93600,81,2022,24,535.5,32350.4999999999,31814.9999999999,1
"FtIIuxEaVdq","MOH - Uganda","Busoga","Bugiri District","Bulesa Subcounty","God's Mercy Clinic","God's Mercy Clinic",9360,142,2022,33,72.4,474,401.6,1
"FvZUwmuSrzB","MOH - Uganda","Acholi","Gulu City","Gulu East","Lapeta HC II","Lapeta HC II",2178047,30,2022,10,3294,49279,45985,1
"Fw6WydOY9UR","MOH - Uganda","Acholi","Omoro District","Lakwana Subcounty","Lujorongole HC II","Lujorongole HC II",428100,174,2022,18,1462.5,52416,50953.5,1
"FzjQcOWAApu","MOH - Uganda","South Central","Kalangala District","Mugoye Subcounty","Kasekulo HC II","Kasekulo HC II",79201,9,2022,10,285.25,7920,7634.75,1
"GT8CbxGtA7o","MOH - Uganda","Bugisu","Bulambuli District","Lusha Subcounty","Bumwambu HC III","Bumwambu HC III",198000,11,2022,16,93,77166.0000000001,77073.0000000001,1
"GTtwaqeomFa","MOH - Uganda","Kigezi","Kisoro District","Rubuguri Town Council","Rubuguri HC IV","Rubuguri HC IV",2047200,5,2022,36,20958.75,27948.9,6990.15,1
"GaSVQD2cOzL","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Saidina Abubakar Nursing Home HC III","Saidina Abubakar Nursing Home HC III",87840,8,2022,22,360,4677.5,4317.5,1
"GjiT4Fcwj6P","MOH - Uganda","North Central","Kyankwanzi District","Gayaza Subcounty","Kiyuni HC III","Kiyuni HC III",155120,59,2022,37,454.5,50935.5,50481,1
"Gs4nX12jUeA","MOH - Uganda","West Nile","Yumbe District","Yumbe Town Council","Yumbe HC IV","Yumbe HC IV",155282040,102,2022,52,47865,1342155,1294290,1
"GydLR8lY7Qw","MOH - Uganda","West Nile","Madi-Okollo District","Rigbo Subcounty","Oduobu HC III","Oduobu HC III",972360,440,2022,24,7965,137295.25,129330.25,1
"GzIVh9blxSN","MOH - Uganda","Acholi","Agago District","Omot Subcounty","Omot HC II","Omot HC II",2256360,317,2022,24,1387.5,747150,745762.5,1
"Gzi0wE7W18v","MOH - Uganda","Kigezi","Rukiga District","Rwamucucu Subcounty","Mparo Prison HC II","Mparo Prison HC II",39780,NA,2022,1,103.2,8184.00000000011,8080.80000000011,1
"H5qRrAmreYp","MOH - Uganda","West Nile","Madi-Okollo District","Uleppi Subcounty","St. Luke Katiyi HC III","St. Luke Katiyi HC III",45700,18,2022,15,307.5,11475,11167.5,1
"H8IwuI5HbgB","MOH - Uganda","West Nile","Yumbe District","Midigo Subcounty","Midigo HC IV","Midigo HC IV",1661800,249,2022,25,453.75,413855,413401.25,1
"HHk9WUPh2xf","MOH - Uganda","South Central","Sembabule District","Mijwala Subcounty","Kasaalu HC II","Kasaalu HC II",288000,24,2022,13,1440,106560,105120,1
"HRUwvJnV3yt","MOH - Uganda","Ankole","Isingiro District","Kaberebere Town Council","Kikokwa HC III","Kikokwa HC III",587880,11,2022,18,2544,82266,79722,1
"HXap310Pwnz","MOH - Uganda","Tooro","Kamwenge District","Rukunyu Town Council","Rukunyu Hospital","Rukunyu Hospital",2130840,139,2022,41,969.15,771389.999999996,770420.849999996,1
"HXq1Fb10i3f","MOH - Uganda","Teso","Katakwi District","Katakwi Town Council","Katakwi Prisons HC II","Katakwi Prisons HC II",53997,2,2022,4,273.4,5264.7,4991.3,1
"HZQq912GC0O","MOH - Uganda","South Central","Kyotera District","Kyebe Subcounty","Minziiro HC II","Minziiro HC II",1500,56,2022,22,20.1,598.85,578.75,1
