"district","year","week","total_cases.x","total_death","tpr_district","tpr_status","total_tx_stock","total_cases.y","tx_available","tx_stock_weeks","tx_stockout","total_suspected.x","total_rdt_stock","total_suspected.y","rdt_stock_weeks","rdt_stockout"
"Abim District",2022,1,892,NA,44,"4. 40-55%",714809,892,42047.5882352941,47.1385518332894,"Overstock",1943,27142,1943,13.9691199176531,"Adequate stock"
"Abim District",2022,2,656,NA,61.45,"5. 55-70%",1143052,656,67238.3529411765,102.497489239598,"Overstock",1703,37584,1703,22.0692894891368,"Overstock"
"Abim District",2022,3,716,NA,45.1,"4. 40-55%",656900,716,38641.1764705882,53.9681235622741,"Overstock",1692,32091,1692,18.9663120567376,"Adequate stock"
"Abim District",2022,4,813,NA,47.4,"4. 40-55%",1246281,813,73310.6470588235,90.1729976123291,"Overstock",1964,38231,1964,19.4658859470468,"Adequate stock"
"Abim District",2022,5,678,NA,56.15,"5. 55-70%",1188920,678,69936.4705882353,103.151136560819,"Overstock",1539,29657,1539,19.2703053931124,"Adequate stock"
"Abim District",2022,6,766,NA,48.8,"4. 40-55%",794020,766,46707.0588235294,60.9752726155736,"Overstock",1314,17858,1314,13.5905631659056,"Adequate stock"
"Abim District",2022,7,660,NA,54.1666666666667,"4. 40-55%",541396,660,31846.8235294118,48.2527629233512,"Overstock",1638,18456,1638,11.2673992673993,"Adequate stock"
"Abim District",2022,8,900,NA,41.175,"4. 40-55%",776556,900,45679.7647058823,50.7552941176471,"Overstock",2369,21983,2369,9.27944280287041,"Adequate stock"
"Abim District",2022,9,865,NA,31.25,"3. 25-40%",512446,865,30143.8823529412,34.8484189051343,"Overstock",1606,20436,1606,12.7247820672478,"Adequate stock"
"Abim District",2022,10,741,NA,38.1,"3. 25-40%",501270,741,29486.4705882353,39.7928078113837,"Overstock",1973,33591,1973,17.0253421186011,"Adequate stock"
"Abim District",2022,11,975,NA,46.675,"4. 40-55%",1162490,975,68381.7647058823,70.1351432880845,"Overstock",2877,56856,2877,19.762252346194,"Adequate stock"
"Abim District",2022,12,1037,NA,41.85,"4. 40-55%",600450,1037,35320.5882352941,34.0603550967156,"Overstock",2497,41070,2497,16.4477372847417,"Adequate stock"
"Abim District",2022,13,729,NA,42.34,"4. 40-55%",596622,729,35095.4117647059,48.1418542725732,"Overstock",1905,54622,1905,28.6729658792651,"Overstock"
"Abim District",2022,14,506,NA,39.65,"3. 25-40%",1067779,506,62810.5294117647,124.131481050918,"Overstock",1491,46259,1491,31.0254862508384,"Overstock"
"Abim District",2022,15,714,NA,38.65,"3. 25-40%",558463,714,32850.7647058823,46.0094743779865,"Overstock",1405,48809,1405,34.7395017793594,"Overstock"
"Abim District",2022,16,738,NA,34.54,"3. 25-40%",484440,738,28496.4705882353,38.6131037780966,"Overstock",1834,43707,1834,23.8315158124318,"Overstock"
"Abim District",2022,17,668,NA,45.4,"4. 40-55%",406036,668,23884.4705882353,35.7551954913702,"Overstock",2135,46004,2135,21.5475409836066,"Overstock"
"Abim District",2022,18,1013,NA,44.1333333333333,"4. 40-55%",433742,1013,25514.2352941176,25.1868068056443,"Overstock",2514,40175,2514,15.9805091487669,"Adequate stock"
"Abim District",2022,19,1224,NA,35.7333333333333,"3. 25-40%",286429,1224,16848.7647058824,13.7653306420607,"Adequate stock",2910,55137,2910,18.9474226804124,"Adequate stock"
"Abim District",2022,20,1011,NA,28.5,"3. 25-40%",326529,1011,19207.5882352941,18.998603595741,"Adequate stock",2813,52024,2813,18.4941343761109,"Adequate stock"
"Abim District",2022,21,1121,NA,51.3,"4. 40-55%",223530,1121,13148.8235294118,11.7295481975127,"Adequate stock",1964,56333,1964,28.6827902240326,"Overstock"
"Abim District",2022,22,1332,NA,57.5333333333333,"5. 55-70%",270073,1332,15886.6470588235,11.926912206324,"Adequate stock",2143,54386,2143,25.3784414372375,"Overstock"
"Abim District",2022,23,1987,NA,64.6,"5. 55-70%",635300,1987,37370.5882352941,18.8075431481098,"Adequate stock",3175,74038,3175,23.3190551181102,"Overstock"
