"location_id","national","region","district","subcounty","facility","location_name","cases","year","week","q1","q3","iqr","potential_outlier"
"B8NYlYZSA5v","MOH - Uganda","Tooro","Kasese District","Nyamwamba Division","Miriam Medical Centre HC III","Miriam Medical Centre HC III",59,2022,22,3.9,22.1000000000001,18.2000000000001,1
"BZb3cYmrXML","MOH - Uganda","North Central","Mityana District","Central Division (Mityana MC)","Mityana Prisons HC II","Mityana Prisons HC II",40,2022,14,1,11,10,1
"ByG7ghZu9YS","MOH - Uganda","Tooro","Kasese District","Nyamwamba Division","Kabughabugha HC II","Kabughabugha HC II",51,2022,22,3,21.975,18.975,1
"CbZsLxa0Zp6","MOH - Uganda","Bukedi","Budaka District","Katiira Subcounty","Katira HC III","Katira HC III",2741,2022,40,70.75,613,542.25,1
"EBSCVsdna0I","MOH - Uganda","Tooro","Kasese District","Nyamwamba Division","Saluti HC II","Saluti HC II",75,2022,22,4.25,32.25,28,1
"EV3FAEfGKKn","MOH - Uganda","Bunyoro","Kakumiro District","Kisengwe Subcounty","Kisengwe HC III","Kisengwe HC III",950,2022,37,14.55,301.149999999998,286.599999999998,1
"EYFKJlJa6Mp","MOH - Uganda","West Nile","Maracha District","Yivu Subcounty","Loinya HC II","Loinya HC II",600,2022,30,47.65,236.95,189.3,1
"Eg7Efn5rKSj","MOH - Uganda","North Central","Buvuma District","Lubya Subcounty","Namiti Health Centre HC II","Namiti Health Centre HC II",69,2022,36,7.175,30,22.825,1
"FSCJx5lt6JS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Kampala Independent Hospital","Kampala Independent Hospital",84,2022,40,1,12.7,11.7,1
"FkHL59DWIav","MOH - Uganda","Lango","Alebtong District","Apala Subcounty","Obim HC II","Obim HC II",1444,2022,20,25.2,229.7,204.5,1
"Fq8Ly6ex4kx","MOH - Uganda","Bugisu","Mbale City","Northern Division (Mbale MC)","Mbale Municipal HC II","Mbale Municipal HC II",121,2022,38,60,81,21,1
"GKKKgh0tu8d","MOH - Uganda","Busoga","Luuka District","Irongo Subcounty","Kibinga HC II","Kibinga HC II",150,2022,2,3.2,45.5999999999999,42.3999999999999,1
