"district","year","week","total_death"
"Rukungiri District",2022,17,1
"Busia District",2022,24,1
"Busia District",2022,36,1
"Busia District",2022,41,1
"Busia District",2022,44,2
"Busia District",2022,47,2
"Lamwo District",2022,34,1
"Yumbe District",2022,25,1
"Kanungu District",2022,1,1
"Kanungu District",2022,25,1
"Kanungu District",2022,28,1
"Kanungu District",2022,3,1
"Kanungu District",2022,38,1
"Kanungu District",2022,45,1
"Kamwenge District",2022,5,1
"Serere District",2022,27,1
"Serere District",2022,7,1
"Kyenjojo District",2022,35,3
"Kyenjojo District",2022,39,1
"Serere District",2022,12,1
"Serere District",2022,48,2
"Mitooma District",2022,44,1
"Fort Portal City",2022,1,5
"Fort Portal City",2022,10,1
"Fort Portal City",2022,11,3
"Fort Portal City",2022,13,2
"Fort Portal City",2022,14,2
"Fort Portal City",2022,15,1
"Fort Portal City",2022,16,2
"Fort Portal City",2022,17,2
"Fort Portal City",2022,18,2
"Fort Portal City",2022,2,7
"Fort Portal City",2022,23,2
"Fort Portal City",2022,24,4
"Fort Portal City",2022,26,1
"Fort Portal City",2022,27,5
"Fort Portal City",2022,28,4
"Fort Portal City",2022,29,2
"Fort Portal City",2022,3,2
"Fort Portal City",2022,30,2
"Fort Portal City",2022,34,1
"Fort Portal City",2022,35,2
"Fort Portal City",2022,36,2
"Fort Portal City",2022,38,6
"Fort Portal City",2022,39,3
"Fort Portal City",2022,4,2
"Fort Portal City",2022,40,1
"Fort Portal City",2022,41,4
"Fort Portal City",2022,42,3
"Fort Portal City",2022,43,3
"Fort Portal City",2022,44,2
"Fort Portal City",2022,45,4
"Fort Portal City",2022,46,2
"Fort Portal City",2022,47,1
"Fort Portal City",2022,48,3
"Fort Portal City",2022,49,1
"Fort Portal City",2022,5,2
"Fort Portal City",2022,50,4
"Fort Portal City",2022,52,3
"Fort Portal City",2022,6,2
"Fort Portal City",2022,7,4
"Fort Portal City",2022,8,1
"Fort Portal City",2022,9,1
"Fort Portal City",2023,1,2
"Iganga District",2022,10,2
"Iganga District",2022,12,2
"Iganga District",2022,13,1
"Iganga District",2022,15,1
"Iganga District",2022,16,1
"Iganga District",2022,18,1
"Iganga District",2022,19,1
"Iganga District",2022,20,1
"Iganga District",2022,21,2
"Iganga District",2022,22,1
"Iganga District",2022,24,2
"Iganga District",2022,25,4
"Iganga District",2022,26,1
"Iganga District",2022,27,3
"Iganga District",2022,28,3
"Iganga District",2022,29,2
"Iganga District",2022,30,2
"Iganga District",2022,31,3
"Iganga District",2022,33,1
"Iganga District",2022,37,2
"Iganga District",2022,38,2
"Iganga District",2022,39,1
"Iganga District",2022,41,1
"Iganga District",2022,42,1
"Iganga District",2022,43,2
"Iganga District",2022,44,1
"Iganga District",2022,5,1
"Iganga District",2022,50,1
"Iganga District",2022,52,2
"Iganga District",2022,6,1
"Iganga District",2022,7,2
"Iganga District",2022,8,1
"Iganga District",2022,9,1
"Buliisa District",2022,11,1
"Buliisa District",2022,2,1
"Buliisa District",2022,22,1
"Buliisa District",2022,27,1
"Buliisa District",2022,4,4
"Buliisa District",2022,45,2
"Buliisa District",2022,48,1
"Buliisa District",2022,49,1
"Adjumani District",2022,38,9
"Lyantonde District",2022,49,1
"Kasese District",2022,31,1
"Ntungamo District",2022,33,1
"Ntungamo District",2022,37,1
"Ntungamo District",2022,44,1
"Ntungamo District",2022,51,1
"Agago District",2022,40,1
"Madi-Okollo District",2022,33,1
"Otuke District",2022,1,3
"Otuke District",2022,10,1
"Otuke District",2022,13,1
"Otuke District",2022,17,1
"Otuke District",2022,18,1
"Otuke District",2022,19,2
"Otuke District",2022,24,1
"Otuke District",2022,25,1
"Otuke District",2022,31,1
"Otuke District",2022,39,1
"Otuke District",2022,43,1
"Otuke District",2022,45,1
"Otuke District",2022,49,2
"Otuke District",2022,9,1
"Kayunga District",2022,13,1
"Kitgum District",2022,41,2
"Kitgum District",2022,9,3
"Ngora District",2022,18,1
"Kyenjojo District",2022,13,1
"Kyenjojo District",2022,15,1
"Kyenjojo District",2022,17,1
"Kyenjojo District",2022,19,1
"Kyenjojo District",2022,20,3
"Kyenjojo District",2022,21,1
"Kyenjojo District",2022,22,1
"Kyenjojo District",2022,23,1
"Kyenjojo District",2022,24,2
"Kyenjojo District",2022,27,2
"Kyenjojo District",2022,30,2
"Kyenjojo District",2022,31,2
"Kyenjojo District",2022,37,1
"Kyenjojo District",2022,41,2
