"district","year","week","total_suspected"
"Wakiso District",2022,1,9731
"Wakiso District",2022,25,9305
"Wakiso District",2022,27,8869
"Wakiso District",2022,28,10855
"Wakiso District",2022,31,8827
"Wakiso District",2022,33,8557
"Wakiso District",2022,7,5832
"Kween District",2022,1,784
"Kween District",2022,10,731
"Kween District",2022,11,884
"Kween District",2022,12,968
"Kween District",2022,14,852
"Kween District",2022,15,565
"Kween District",2022,16,483
"Kween District",2022,17,482
"Kween District",2022,19,641
"Kween District",2022,2,686
"Kween District",2022,21,186
"Kween District",2022,22,379
"Kween District",2022,23,726
"Kween District",2022,24,496
"Kween District",2022,25,512
"Kween District",2022,26,740
"Kween District",2022,28,573
"Kween District",2022,29,556
"Kween District",2022,3,366
"Kween District",2022,30,942
"Kween District",2022,31,495
"Kween District",2022,33,501
"Kween District",2022,34,687
"Kween District",2022,35,597
"Kween District",2022,36,729
"Kween District",2022,37,738
"Kween District",2022,38,961
"Kween District",2022,39,838
"Kween District",2022,4,496
"Kween District",2022,40,1021
"Kween District",2022,41,632
"Kween District",2022,43,661
"Kween District",2022,44,608
"Kween District",2022,46,190
"Kween District",2022,47,609
"Kween District",2022,48,790
"Kween District",2022,49,740
"Kween District",2022,50,793
"Kween District",2022,51,751
"Kween District",2022,52,378
"Kween District",2022,6,571
"Kween District",2022,7,367
"Kween District",2022,8,396
"Kween District",2022,9,493
"Kampala District",2022,26,19901
"Kampala District",2022,28,17183
"Kampala District",2022,29,17470
"Kampala District",2022,32,16422
"Kampala District",2022,33,13796
"Kampala District",2022,34,13286
"Kampala District",2022,36,13085
"Kampala District",2022,37,14303
"Kampala District",2022,39,13883
"Kampala District",2022,40,14599
"Kampala District",2022,43,16758
"Kampala District",2022,46,13491
"Kampala District",2022,47,15633
"Kampala District",2022,48,16825
"Kampala District",2022,51,8338
"Yumbe District",2022,1,9929
"Yumbe District",2022,10,8819
"Yumbe District",2022,11,9178
"Yumbe District",2022,12,8679
"Yumbe District",2022,13,8231
"Yumbe District",2022,14,8380
"Yumbe District",2022,15,9135
"Yumbe District",2022,16,7504
"Yumbe District",2022,17,8189
"Yumbe District",2022,18,10503
"Yumbe District",2022,19,14385
"Yumbe District",2022,2,7701
"Yumbe District",2022,20,13350
"Yumbe District",2022,21,14960
"Yumbe District",2022,22,14473
"Yumbe District",2022,23,15980
"Yumbe District",2022,24,16556
"Yumbe District",2022,25,13885
"Yumbe District",2022,26,10862
"Yumbe District",2022,27,9069
"Yumbe District",2022,28,13244
"Yumbe District",2022,29,12182
"Yumbe District",2022,3,8752
"Yumbe District",2022,30,11709
"Yumbe District",2022,31,12454
"Yumbe District",2022,32,9252
"Yumbe District",2022,33,12309
"Yumbe District",2022,34,10713
"Yumbe District",2022,35,11201
"Yumbe District",2022,36,13743
"Yumbe District",2022,37,12915
"Yumbe District",2022,38,14338
"Yumbe District",2022,39,13243
"Yumbe District",2022,4,8400
"Yumbe District",2022,40,13579
"Yumbe District",2022,41,14230
"Yumbe District",2022,43,16749
"Yumbe District",2022,44,13156
"Yumbe District",2022,45,12016
"Yumbe District",2022,46,6258
"Yumbe District",2022,47,9169
"Yumbe District",2022,48,9437
"Yumbe District",2022,49,9100
"Yumbe District",2022,5,8392
"Yumbe District",2022,50,5955
"Yumbe District",2022,51,5454
"Yumbe District",2022,52,4874
"Yumbe District",2022,6,9441
"Yumbe District",2022,7,9834
"Yumbe District",2022,8,10656
"Yumbe District",2022,9,8261
"Yumbe District",2023,1,5829
"Wakiso District",2022,18,9171
"Wakiso District",2022,19,7971
"Wakiso District",2022,2,7951
"Wakiso District",2022,3,5838
"Wakiso District",2022,30,8815
"Wakiso District",2022,34,9576
"Wakiso District",2022,35,9381
"Wakiso District",2022,36,8888
"Wakiso District",2022,37,9294
"Wakiso District",2022,38,11630
"Wakiso District",2022,39,10735
"Wakiso District",2022,4,6717
"Wakiso District",2022,40,10662
"Wakiso District",2022,41,10986
"Wakiso District",2022,42,9025
"Wakiso District",2022,43,11482
"Wakiso District",2022,44,12300
"Wakiso District",2022,45,12750
"Wakiso District",2022,47,9973
"Wakiso District",2022,48,10710
"Wakiso District",2022,49,11216
"Wakiso District",2022,50,6747
"Wakiso District",2022,51,6447
"Wakiso District",2022,52,7489
"Wakiso District",2022,6,6543
"Wakiso District",2022,8,9869
"Kasese District",2022,10,7051
"Kasese District",2022,13,5122
"Kasese District",2022,14,4577
"Kasese District",2022,17,9891
"Kasese District",2022,18,8508
"Kasese District",2022,19,8895
"Kasese District",2022,20,6082
"Kasese District",2022,21,7537
"Kasese District",2022,22,9409
"Kasese District",2022,23,9354
"Kasese District",2022,24,8651
"Kasese District",2022,25,8262
"Kasese District",2022,26,8371
"Kasese District",2022,27,8311
"Kasese District",2022,28,10499
"Kasese District",2022,29,9010
"Kasese District",2022,30,9211
"Kasese District",2022,31,8228
"Kasese District",2022,33,6791
"Kasese District",2022,34,6631
"Kasese District",2022,35,5467
"Kasese District",2022,36,5021
"Kasese District",2022,37,4927
"Kasese District",2022,38,6104
"Kasese District",2022,39,9360
"Kasese District",2022,40,10620
"Kasese District",2022,41,8408
"Kasese District",2022,42,7112
"Kasese District",2022,43,7270
"Kasese District",2022,44,5633
"Kasese District",2022,45,6435
"Kasese District",2022,46,3326
"Kasese District",2022,47,3958
"Kasese District",2022,48,4910
"Kasese District",2022,49,4165
"Kasese District",2022,50,3530
"Pallisa District",2022,1,5438
"Pallisa District",2022,10,6049
"Pallisa District",2022,11,6483
"Pallisa District",2022,12,5411
"Pallisa District",2022,13,3660
"Pallisa District",2022,14,4343
"Pallisa District",2022,15,4295
"Pallisa District",2022,16,4406
"Pallisa District",2022,17,3313
"Pallisa District",2022,18,3839
"Pallisa District",2022,19,4157
"Pallisa District",2022,2,3835
"Pallisa District",2022,21,2677
"Pallisa District",2022,23,6197
"Pallisa District",2022,24,7015
"Pallisa District",2022,25,4628
"Pallisa District",2022,26,3366
"Pallisa District",2022,27,5487
"Pallisa District",2022,28,5720
"Pallisa District",2022,29,6483
"Pallisa District",2022,3,2807
"Pallisa District",2022,30,5566
"Pallisa District",2022,31,5460
"Pallisa District",2022,32,4936
"Pallisa District",2022,33,5119
"Pallisa District",2022,34,4287
"Pallisa District",2022,35,3900
"Pallisa District",2022,36,5095
"Pallisa District",2022,38,4657
"Pallisa District",2022,39,5343
"Pallisa District",2022,4,3159
"Pallisa District",2022,40,4510
"Pallisa District",2022,41,4332
"Pallisa District",2022,42,3822
"Pallisa District",2022,43,4309
"Pallisa District",2022,44,4979
"Pallisa District",2022,45,5334
"Pallisa District",2022,47,6270
"Pallisa District",2022,48,5437
"Pallisa District",2022,49,5334
"Pallisa District",2022,5,3247
"Pallisa District",2022,50,4807
"Pallisa District",2022,51,3973
"Pallisa District",2022,52,3446
"Pallisa District",2022,6,3802
"Pallisa District",2022,7,4646
"Pallisa District",2022,8,3442
"Pallisa District",2023,1,4538
"Ntoroko District",2022,1,460
"Ntoroko District",2022,10,704
"Ntoroko District",2022,11,686
"Ntoroko District",2022,12,560
"Ntoroko District",2022,14,504
"Ntoroko District",2022,15,458
"Ntoroko District",2022,16,709
"Ntoroko District",2022,17,648
"Ntoroko District",2022,18,840
"Ntoroko District",2022,19,716
"Ntoroko District",2022,2,285
"Ntoroko District",2022,20,345
"Ntoroko District",2022,21,278
"Ntoroko District",2022,22,645
"Ntoroko District",2022,23,663
"Ntoroko District",2022,24,504
"Ntoroko District",2022,25,551
"Ntoroko District",2022,26,428
"Ntoroko District",2022,27,614
"Ntoroko District",2022,28,741
"Ntoroko District",2022,29,758
"Ntoroko District",2022,3,422
"Ntoroko District",2022,30,701
"Ntoroko District",2022,31,713
"Ntoroko District",2022,32,784
"Ntoroko District",2022,33,591
"Ntoroko District",2022,34,652
"Ntoroko District",2022,35,559
"Ntoroko District",2022,36,571
"Ntoroko District",2022,37,552
"Ntoroko District",2022,38,623
"Ntoroko District",2022,4,501
"Ntoroko District",2022,40,759
"Ntoroko District",2022,41,733
"Ntoroko District",2022,42,608
"Ntoroko District",2022,43,714
"Ntoroko District",2022,44,594
"Ntoroko District",2022,45,342
"Ntoroko District",2022,47,298
"Ntoroko District",2022,48,349
"Ntoroko District",2022,49,496
"Ntoroko District",2022,5,711
"Ntoroko District",2022,50,186
"Ntoroko District",2022,51,309
"Ntoroko District",2022,52,346
"Ntoroko District",2022,6,631
"Ntoroko District",2022,7,672
"Ntoroko District",2022,8,634
"Ntoroko District",2022,9,487
"Ntoroko District",2023,1,460
"Budaka District",2022,14,2908
"Budaka District",2022,15,3649
"Budaka District",2022,18,3117
"Budaka District",2022,19,3537
"Budaka District",2022,20,2847
"Budaka District",2022,23,4966
"Budaka District",2022,24,6762
"Budaka District",2022,26,5567
"Budaka District",2022,27,6656
"Budaka District",2022,28,5213
"Budaka District",2022,29,4763
"Budaka District",2022,3,3071
"Budaka District",2022,30,6500
"Budaka District",2022,31,4587
"Budaka District",2022,32,3896
"Budaka District",2022,33,4115
"Budaka District",2022,34,3840
"Budaka District",2022,35,5690
"Budaka District",2022,36,4600
"Budaka District",2022,37,5123
"Budaka District",2022,38,4644
"Budaka District",2022,39,5693
"Budaka District",2022,41,4889
"Budaka District",2022,42,3296
"Budaka District",2022,43,4554
"Budaka District",2022,44,4749
"Budaka District",2022,45,4224
"Budaka District",2022,46,2445
"Budaka District",2022,47,5872
"Budaka District",2022,48,5458
"Budaka District",2022,49,4268
"Budaka District",2022,50,3504
"Budaka District",2022,51,3024
"Budaka District",2022,52,3089
"Budaka District",2022,7,4746
"Budaka District",2022,8,3392
"Budaka District",2022,9,4341
"Budaka District",2023,1,3984
"Bukomansimbi District",2022,15,751
"Bukomansimbi District",2022,21,742
"Bukomansimbi District",2022,26,780
"Bukomansimbi District",2022,29,911
"Bukomansimbi District",2022,32,774
"Bukomansimbi District",2022,33,705
"Bukomansimbi District",2022,34,586
"Bukomansimbi District",2022,35,654
"Bukomansimbi District",2022,36,687
"Bukomansimbi District",2022,37,872
"Bukomansimbi District",2022,38,997
"Bukomansimbi District",2022,39,1327
"Bukomansimbi District",2022,40,1403
"Bukomansimbi District",2022,41,1807
"Bukomansimbi District",2022,42,1531
"Bukomansimbi District",2022,43,1775
"Bukomansimbi District",2022,44,1704
"Bukomansimbi District",2022,45,1435
"Bukomansimbi District",2022,46,865
"Bukomansimbi District",2022,47,791
"Bukomansimbi District",2022,48,851
"Bukomansimbi District",2022,49,929
"Bukomansimbi District",2022,50,901
"Bukomansimbi District",2022,51,1337
"Bukomansimbi District",2022,52,1376
"Bukomansimbi District",2023,1,1203
"Kampala District",2022,41,14773
"Kampala District",2022,42,13413
"Kampala District",2022,44,15057
"Kampala District",2022,45,15726
"Kampala District",2022,49,14978
"Kampala District",2022,50,13082
"Kampala District",2022,52,13026
"Kampala District",2023,1,16259
"Sironko District",2022,1,2907
"Sironko District",2022,11,2799
"Sironko District",2022,12,2403
"Sironko District",2022,15,2028
"Sironko District",2022,16,2217
"Sironko District",2022,18,2167
"Sironko District",2022,2,1826
"Sironko District",2022,25,2890
"Sironko District",2022,26,2909
"Sironko District",2022,3,1511
"Sironko District",2022,31,1968
"Sironko District",2022,33,1867
"Sironko District",2022,35,2440
"Sironko District",2022,36,1519
"Sironko District",2022,37,1932
"Sironko District",2022,38,2802
"Sironko District",2022,39,2076
"Sironko District",2022,4,1642
"Sironko District",2022,40,2125
"Sironko District",2022,41,1804
"Sironko District",2022,42,2136
"Sironko District",2022,43,1859
"Sironko District",2022,45,1544
"Sironko District",2022,47,2299
"Sironko District",2022,48,1946
"Sironko District",2022,49,1543
"Sironko District",2022,50,1466
"Sironko District",2022,6,1613
"Sironko District",2022,7,1636
"Sironko District",2022,8,1759
"Sironko District",2022,9,1749
"Lyantonde District",2022,1,2643
"Lyantonde District",2022,10,924
"Lyantonde District",2022,12,1143
"Lyantonde District",2022,13,1696
"Lyantonde District",2022,14,1776
"Lyantonde District",2022,15,925
"Lyantonde District",2022,16,1306
"Lyantonde District",2022,17,1308
"Lyantonde District",2022,18,1809
"Lyantonde District",2022,19,1963
"Lyantonde District",2022,2,1884
"Lyantonde District",2022,20,1057
"Lyantonde District",2022,22,1016
"Lyantonde District",2022,23,1237
"Lyantonde District",2022,24,2052
"Lyantonde District",2022,25,1811
"Lyantonde District",2022,26,2067
"Lyantonde District",2022,27,2044
"Lyantonde District",2022,28,1749
"Lyantonde District",2022,29,1746
"Lyantonde District",2022,3,1830
"Lyantonde District",2022,30,1374
"Lyantonde District",2022,31,1012
"Lyantonde District",2022,32,760
"Lyantonde District",2022,33,781
"Lyantonde District",2022,34,765
"Lyantonde District",2022,35,600
"Lyantonde District",2022,36,669
"Lyantonde District",2022,37,711
"Lyantonde District",2022,38,1077
"Lyantonde District",2022,39,1281
"Lyantonde District",2022,4,1870
"Lyantonde District",2022,40,1545
"Lyantonde District",2022,41,1473
"Lyantonde District",2022,42,1665
"Lyantonde District",2022,43,1797
"Lyantonde District",2022,45,2032
"Lyantonde District",2022,46,1022
"Lyantonde District",2022,47,1441
"Lyantonde District",2022,48,1512
"Lyantonde District",2022,49,1413
"Lyantonde District",2022,50,2766
"Lyantonde District",2022,51,2819
"Lyantonde District",2022,52,2314
"Lyantonde District",2022,6,1229
"Lyantonde District",2022,8,1195
"Lyantonde District",2022,9,911
"Lyantonde District",2023,1,1691
"Oyam District",2022,1,3030
"Oyam District",2022,10,5349
"Oyam District",2022,11,6032
"Oyam District",2022,15,4079
"Oyam District",2022,17,5818
"Oyam District",2022,2,2485
"Oyam District",2022,26,3205
"Oyam District",2022,27,5690
"Oyam District",2022,28,5504
"Oyam District",2022,3,2977
"Oyam District",2022,32,5258
"Oyam District",2022,33,4645
"Oyam District",2022,34,4918
"Oyam District",2022,35,4478
"Oyam District",2022,36,4448
"Oyam District",2022,37,3967
"Oyam District",2022,38,4172
"Oyam District",2022,39,4440
"Oyam District",2022,4,2966
"Oyam District",2022,40,3631
"Oyam District",2022,41,3508
"Oyam District",2022,44,7314
"Oyam District",2022,45,6650
"Oyam District",2022,46,4344
"Oyam District",2022,47,5095
"Oyam District",2022,48,4499
"Oyam District",2022,5,3206
"Oyam District",2022,50,2584
"Oyam District",2022,51,1963
"Oyam District",2022,52,1986
"Oyam District",2022,6,3256
"Oyam District",2022,7,2407
"Oyam District",2022,8,5578
"Oyam District",2022,9,6025
"Oyam District",2023,1,2093
"Ntungamo District",2022,23,2824
"Ntungamo District",2022,25,2256
"Ntungamo District",2022,26,3298
"Ntungamo District",2022,27,3732
"Ntungamo District",2022,28,3439
"Ntungamo District",2022,29,3519
"Ntungamo District",2022,30,2755
"Ntungamo District",2022,31,2433
"Ntungamo District",2022,32,2986
"Ntungamo District",2022,33,2497
"Ntungamo District",2022,34,2150
"Ntungamo District",2022,35,2106
"Ntungamo District",2022,37,2016
"Ntungamo District",2022,39,3147
"Namayingo District",2022,1,3141
"Namayingo District",2022,10,3509
"Namayingo District",2022,13,2542
"Namayingo District",2022,18,2025
"Namayingo District",2022,19,3242
"Namayingo District",2022,23,2139
"Namayingo District",2022,24,2627
"Namayingo District",2022,25,2087
"Namayingo District",2022,26,2499
"Namayingo District",2022,28,2679
"Namayingo District",2022,30,3273
"Namayingo District",2022,31,2625
"Namayingo District",2022,32,1711
"Namayingo District",2022,33,2569
"Namayingo District",2022,34,2689
"Namayingo District",2022,35,2708
"Namayingo District",2022,36,2247
"Namayingo District",2022,37,2898
"Namayingo District",2022,38,3179
"Namayingo District",2022,39,3411
"Namayingo District",2022,40,3012
"Namayingo District",2022,41,2854
"Namayingo District",2022,42,2468
"Namayingo District",2022,43,2359
"Namayingo District",2022,44,2354
"Namayingo District",2022,45,2566
"Namayingo District",2022,47,4592
"Namayingo District",2022,48,4528
"Namayingo District",2022,49,4237
"Namayingo District",2022,50,3754
"Namayingo District",2022,51,3617
"Namayingo District",2022,52,3271
"Namayingo District",2023,1,4559
"Amudat District",2022,13,394
"Amudat District",2022,14,329
"Amudat District",2022,15,292
"Amudat District",2022,4,566
"Amudat District",2022,41,1033
"Amudat District",2022,42,1222
"Mpigi District",2022,39,2154
"Mpigi District",2022,40,1893
"Mpigi District",2022,41,1995
"Mpigi District",2022,42,1672
"Mpigi District",2022,46,1495
"Mpigi District",2022,47,1296
"Mpigi District",2022,48,1976
"Mpigi District",2022,49,1926
"Mpigi District",2022,51,1617
"Mpigi District",2022,52,1928
"Mpigi District",2023,1,2634
"Mityana District",2022,1,2250
"Mityana District",2022,10,2548
"Mityana District",2022,11,2465
"Mityana District",2022,12,2068
"Mityana District",2022,16,2054
"Mityana District",2022,2,1646
"Mityana District",2022,26,2452
"Mityana District",2022,3,1631
"Mityana District",2022,30,2292
"Mityana District",2022,31,2150
"Mityana District",2022,33,2513
"Mityana District",2022,34,2579
"Mityana District",2022,35,2368
"Mityana District",2022,36,2241
"Mityana District",2022,37,2875
"Mityana District",2022,38,2906
"Mityana District",2022,4,1384
"Mityana District",2022,40,3484
"Mityana District",2022,42,4309
"Mityana District",2022,43,4951
"Mityana District",2022,46,2500
"Mityana District",2022,47,3427
"Mityana District",2022,48,4303
"Mityana District",2022,49,3832
"Mityana District",2022,5,1576
"Mityana District",2022,50,2209
"Mityana District",2022,51,1788
"Mityana District",2022,7,1337
"Mityana District",2022,8,1495
"Mityana District",2022,9,1457
"Kamwenge District",2022,1,3323
"Kamwenge District",2022,10,5841
"Kamwenge District",2022,11,2831
"Kamwenge District",2022,12,3622
"Kamwenge District",2022,13,2007
"Kamwenge District",2022,15,2063
"Kamwenge District",2022,16,2121
"Kamwenge District",2022,17,2494
"Kamwenge District",2022,18,3638
"Kamwenge District",2022,19,2849
"Kamwenge District",2022,2,1795
"Kamwenge District",2022,20,1250
"Kamwenge District",2022,21,1883
"Kamwenge District",2022,22,3000
"Kamwenge District",2022,23,4614
"Kamwenge District",2022,24,4545
"Kamwenge District",2022,25,4488
"Kamwenge District",2022,26,5447
"Kamwenge District",2022,27,5052
"Kamwenge District",2022,28,4048
"Kamwenge District",2022,29,5312
"Kamwenge District",2022,3,2548
"Kamwenge District",2022,30,3768
"Kamwenge District",2022,31,4420
"Kamwenge District",2022,32,3363
"Kamwenge District",2022,33,3197
"Kamwenge District",2022,34,3562
"Kamwenge District",2022,35,3480
"Kamwenge District",2022,36,3087
"Kamwenge District",2022,37,3593
"Kamwenge District",2022,38,4289
"Kamwenge District",2022,39,4665
"Kamwenge District",2022,4,5002
"Kamwenge District",2022,40,5705
"Kamwenge District",2022,41,5373
"Kamwenge District",2022,42,5393
"Kamwenge District",2022,43,6030
"Kamwenge District",2022,44,6117
"Kamwenge District",2022,45,5614
"Kamwenge District",2022,46,4433
"Kamwenge District",2022,47,3919
"Kamwenge District",2022,48,4459
"Kamwenge District",2022,49,4717
"Kamwenge District",2022,5,7181
"Kamwenge District",2022,50,4095
"Kamwenge District",2022,51,1054
"Kamwenge District",2022,52,2163
"Kamwenge District",2022,6,5304
"Kamwenge District",2022,7,5750
"Kamwenge District",2022,8,4671
"Kamwenge District",2022,9,3786
"Kamwenge District",2023,1,3720
"Rukungiri District",2022,1,3591
"Rukungiri District",2022,10,3024
"Rukungiri District",2022,11,3134
"Rukungiri District",2022,12,2779
"Rukungiri District",2022,17,2579
"Rukungiri District",2022,18,2344
"Rukungiri District",2022,19,2760
"Rukungiri District",2022,2,3813
"Rukungiri District",2022,21,1391
"Rukungiri District",2022,22,1031
"Rukungiri District",2022,23,2489
"Rukungiri District",2022,24,3319
"Rukungiri District",2022,25,3005
"Rukungiri District",2022,26,3711
"Rukungiri District",2022,27,2942
"Rukungiri District",2022,28,3492
"Rukungiri District",2022,29,3352
"Rukungiri District",2022,3,3865
"Rukungiri District",2022,30,2537
"Rukungiri District",2022,33,2164
"Rukungiri District",2022,34,2410
"Rukungiri District",2022,35,2172
"Rukungiri District",2022,36,2534
"Rukungiri District",2022,37,2454
"Rukungiri District",2022,38,2968
"Rukungiri District",2022,39,2836
"Rukungiri District",2022,4,3693
"Rukungiri District",2022,40,2790
"Rukungiri District",2022,44,2585
"Rukungiri District",2022,48,2429
"Rukungiri District",2022,49,3105
"Rukungiri District",2022,50,2083
"Rukungiri District",2022,51,2330
"Rukungiri District",2022,52,2220
"Rukungiri District",2022,6,3516
"Rukungiri District",2022,7,3368
"Rukungiri District",2022,8,3725
"Rukungiri District",2022,9,3845
"Buyende District",2022,11,2808
"Buyende District",2022,12,2594
"Buyende District",2022,13,2254
"Buyende District",2022,14,2512
"Buyende District",2022,15,1972
"Buyende District",2022,18,1981
"Buyende District",2022,2,1529
"Buyende District",2022,20,1532
"Buyende District",2022,21,2255
"Buyende District",2022,23,2908
"Buyende District",2022,24,4093
"Buyende District",2022,25,3914
"Buyende District",2022,26,4323
"Buyende District",2022,27,4613
"Buyende District",2022,28,3484
"Buyende District",2022,29,4181
"Buyende District",2022,30,3986
"Buyende District",2022,31,2916
"Buyende District",2022,32,2807
"Buyende District",2022,33,2688
"Buyende District",2022,34,2694
"Buyende District",2022,35,2923
"Buyende District",2022,36,3863
"Buyende District",2022,37,3855
"Buyende District",2022,38,3680
"Buyende District",2022,40,3353
"Buyende District",2022,41,3344
"Buyende District",2022,42,2407
"Buyende District",2022,43,3117
"Buyende District",2022,44,2663
"Buyende District",2022,46,1060
"Buyende District",2022,47,2750
"Buyende District",2022,48,3685
"Buyende District",2022,49,3388
"Buyende District",2022,50,2778
"Buyende District",2022,52,1995
"Buyende District",2022,7,1734
"Buyende District",2022,8,2541
"Buyende District",2023,1,2259
"Bundibugyo District",2022,1,2696
"Bundibugyo District",2022,10,4311
"Bundibugyo District",2022,11,3736
"Bundibugyo District",2022,12,3517
"Bundibugyo District",2022,13,2798
"Bundibugyo District",2022,14,2994
"Bundibugyo District",2022,15,5070
"Bundibugyo District",2022,16,5255
"Bundibugyo District",2022,17,6251
"Bundibugyo District",2022,18,6496
"Bundibugyo District",2022,19,8399
"Bundibugyo District",2022,2,1453
"Bundibugyo District",2022,21,5982
"Bundibugyo District",2022,22,5385
"Bundibugyo District",2022,23,5753
"Bundibugyo District",2022,24,5361
"Bundibugyo District",2022,25,4028
"Bundibugyo District",2022,26,4238
"Bundibugyo District",2022,27,4611
"Bundibugyo District",2022,29,3999
"Bundibugyo District",2022,3,2868
"Bundibugyo District",2022,30,5048
"Bundibugyo District",2022,32,2636
"Bundibugyo District",2022,33,3105
"Bundibugyo District",2022,34,3721
"Bundibugyo District",2022,35,2618
"Bundibugyo District",2022,36,2754
"Bundibugyo District",2022,37,2694
"Bundibugyo District",2022,38,2877
"Bundibugyo District",2022,39,6036
"Bundibugyo District",2022,4,5269
"Bundibugyo District",2022,40,5480
"Bundibugyo District",2022,41,4755
"Bundibugyo District",2022,43,3687
"Bundibugyo District",2022,44,2960
"Bundibugyo District",2022,45,3504
"Bundibugyo District",2022,48,2443
"Bundibugyo District",2022,49,2146
"Bundibugyo District",2022,5,5972
"Bundibugyo District",2022,50,1520
"Bundibugyo District",2022,51,1777
"Bundibugyo District",2022,52,1646
"Bundibugyo District",2022,6,4817
"Bundibugyo District",2022,7,5415
"Bundibugyo District",2022,8,4654
"Bundibugyo District",2022,9,3783
"Bundibugyo District",2023,1,1500
"Kalangala District",2022,1,710
"Kalangala District",2022,11,757
"Kalangala District",2022,12,492
"Kalangala District",2022,2,588
"Kalangala District",2022,22,302
"Kalangala District",2022,23,461
"Kalangala District",2022,24,550
"Kalangala District",2022,25,552
"Kalangala District",2022,26,298
"Kalangala District",2022,27,465
"Kalangala District",2022,29,418
"Kalangala District",2022,3,537
"Kalangala District",2022,30,471
"Kalangala District",2022,31,439
"Kalangala District",2022,32,410
"Kalangala District",2022,33,413
"Kalangala District",2022,34,323
"Kalangala District",2022,35,386
"Kalangala District",2022,36,296
"Kalangala District",2022,37,398
"Kalangala District",2022,38,391
"Kalangala District",2022,39,369
"Kalangala District",2022,40,415
"Kalangala District",2022,41,377
"Kalangala District",2022,42,465
"Kalangala District",2022,43,484
"Kalangala District",2022,44,411
"Kalangala District",2022,45,392
"Kalangala District",2022,46,431
"Kalangala District",2022,48,630
"Kalangala District",2022,49,527
"Kalangala District",2022,5,401
"Kalangala District",2022,50,464
"Kalangala District",2022,52,441
"Kalangala District",2022,6,335
"Kalangala District",2022,9,580
"Kalangala District",2023,1,530
"Amuria District",2022,1,4682
"Amuria District",2022,10,3179
