"year","week","total_cases"
2022,1,208148
2022,25,296759
2022,27,272680
2022,28,291802
2022,31,237263
2022,33,225189
2022,7,166723
2022,19,266404
2022,21,202723
2022,22,212764
2022,23,280149
2022,24,320158
2022,26,281098
2022,30,294701
2022,44,262924
2022,52,156190
2022,10,210240
2022,32,220771
2022,34,223319
2022,36,220911
2022,37,229798
2022,39,266325
2022,40,254627
2022,46,149501
2022,47,227130
2022,48,254137
2022,51,146470
2022,11,220762
2022,12,196989
2022,13,150053
2022,14,145392
2022,15,156710
2022,16,182060
2022,17,207103
2022,18,238544
2022,2,157187
2022,20,181560
2022,29,300728
2022,3,160203
2022,35,218321
2022,38,259690
2022,4,182387
2022,41,253919
2022,43,292678
2022,45,253697
2022,49,227697
2022,5,172091
2022,50,186463
2022,6,182259
2022,8,203816
2022,9,189242
2023,1,193413
2022,42,260106
