"district","year","week","total_cases"
"Kween District",2022,52,200
"Yumbe District",2022,52,3424
"Wakiso District",2022,52,2783
"Pallisa District",2022,52,2197
"Ntoroko District",2022,52,132
"Budaka District",2022,52,1993
"Kampala District",2022,52,3244
"Lyantonde District",2022,52,1402
"Oyam District",2022,52,1379
"Namayingo District",2022,52,2162
"Kamwenge District",2022,52,1310
"Kalangala District",2022,52,204
"Amuria District",2022,52,1310
"Bunyangabu District",2022,52,226
"Kikuube District",2022,52,1260
"Kyotera District",2022,52,2189
"Buvuma District",2022,52,276
"Amuru District",2022,52,611
"Alebtong District",2022,52,1069
"Kisoro District",2022,52,177
"Pader District",2022,52,2933
"Kwania District",2022,52,710
"Isingiro District",2022,52,3112
"Agago District",2022,52,2642
"Masindi District",2022,52,461
"Kiruhura District",2022,52,810
"Terego District",2022,52,2659
"Koboko District",2022,52,735
"Mitooma District",2022,52,378
"Mpigi District",2022,52,780
"Soroti District",2022,52,1018
"Ntungamo District",2022,52,1248
"Gulu City",2022,52,877
"Gomba District",2022,52,801
"Nakaseke District",2022,52,625
"Iganga District",2022,52,3363
"Amolatar District",2022,52,2082
"Serere District",2022,52,2305
"Busia District",2022,52,865
"Rakai District",2022,52,3538
"Kasese District",2022,52,1357
"Lira District",2022,52,702
"Rwampara District",2022,52,37
"Kiboga District",2022,52,769
"Mbale City",2022,52,803
"Kayunga District",2022,52,936
"Kibuku District",2022,52,4042
"Sheema District",2022,52,86
"Namutumba District",2022,52,2053
"Kaabong District",2022,52,445
"Kalungu District",2022,52,662
"Kabale District",2022,52,93
"Jinja District",2022,52,1140
"Adjumani District",2022,52,2605
"Soroti City",2022,52,638
"Butambala District",2022,52,1419
"Mbarara District",2022,52,258
"Ibanda District",2022,52,1132
"Buikwe District",2022,52,1202
"Jinja City",2022,52,640
"Sironko District",2022,52,521
"Bugiri District",2022,52,1887
"Lira City",2022,52,540
"Kaberamaido District",2022,52,1361
"Kamuli District",2022,52,2849
"Mityana District",2022,52,1697
"Mayuge District",2022,52,1936
"Otuke District",2022,52,687
"Kapchorwa District",2022,52,94
"Tororo District",2022,52,2134
"Nwoya District",2022,52,1637
"Butaleja District",2022,52,2142
"Mukono District",2022,52,1233
"Bushenyi District",2022,52,500
"Lamwo District",2022,52,1779
"Moroto District",2022,52,325
"Mubende District",2022,52,851
"Kazo District",2022,52,893
"Kyankwanzi District",2022,52,469
"Bukedea District",2022,52,1405
"Kanungu District",2022,52,847
"Ngora District",2022,52,692
"Bulambuli District",2022,52,399
"Kitgum District",2022,52,1889
"Bukomansimbi District",2022,52,900
"Kabarole District",2022,52,168
"Gulu District",2022,52,686
"Kole District",2022,52,624
"Hoima City",2022,52,186
"Apac District",2022,52,2456
"Lwengo District",2022,52,1283
"Rukungiri District",2022,52,466
"Kyenjojo District",2022,52,927
"Kumi District",2022,52,3912
"Buhweju District",2022,52,55
"Nakasongola District",2022,52,1203
"Sembabule District",2022,52,1885
"Amudat District",2022,52,185
"Buyende District",2022,52,1086
"Nakapiripirit District",2022,52,369
"Moyo District",2022,52,556
"Fort Portal City",2022,52,307
"Omoro District",2022,52,1079
"Luwero District",2022,52,1301
"Arua District",2022,52,252
"Butebo District",2022,52,931
"Katakwi District",2022,52,1342
"Kibaale District",2022,52,536
"Masaka District",2022,52,421
"Buliisa District",2022,52,880
"Mbarara City",2022,52,206
"Luuka District",2022,52,1197
"Kakumiro District",2022,52,679
"Kapelebyong District",2022,52,703
"Maracha District",2022,52,867
"Kaliro District",2022,52,1539
"Nabilatuk District",2022,52,463
"Napak District",2022,52,599
"Nebbi District",2022,52,2091
"Obongi District",2022,52,380
"Mbale District",2022,52,828
"Madi-Okollo District",2022,52,1152
"Bugweri District",2022,52,1041
"Kagadi District",2022,52,148
"Rubanda District",2022,52,86
"Manafwa District",2022,52,364
"Kitagwenda District",2022,52,425
"Arua City",2022,52,427
"Bundibugyo District",2022,52,670
"Pakwach District",2022,52,881
"Kalaki District",2022,52,491
"Hoima District",2022,52,281
"Dokolo District",2022,52,1518
"Masaka City",2022,52,377
"Zombo District",2022,52,743
"Bududa District",2022,52,290
"Kassanda District",2022,52,319
"Rubirizi District",2022,52,383
"Kotido District",2022,52,682
"Rukiga District",2022,52,120
"Abim District",2022,52,463
"Kyegegwa District",2022,52,847
"Kiryandongo District",2022,52,612
"Bukwo District",2022,52,182
"Namisindwa District",2022,52,679
"Karenga District",2022,52,185
