"","orgunitlevel3","periodid","X033B.CD01a..Malaria..diagnosed.....Cases","Q3","casesp75difference","upsurgepercentage"
"1","Abim District","2022W39",1094,1014,80,7.3
"4","Adjumani District","2022W39",6862,5422,1440,21
"7","Agago District","2022W39",6239,3617,2622,42
"8","Agago District","2022W40",6451,3617,2834,43.9
"9","Agago District","2022W41",5752,3617,2135,37.1
"10","Alebtong District","2022W39",2704,758,1946,72
"11","Alebtong District","2022W40",2128,758,1370,64.4
"12","Alebtong District","2022W41",2619,758,1861,71.1
"13","Amolatar District","2022W39",3949,741,3208,81.2
"14","Amolatar District","2022W40",3211,741,2470,76.9
"15","Amolatar District","2022W41",3076,741,2335,75.9
"16","Amudat District","2022W39",736,366,370,50.3
"17","Amudat District","2022W40",514,366,148,28.8
"19","Amuria District","2022W39",2538,1672,866,34.1
"20","Amuria District","2022W40",2919,1672,1247,42.7
"21","Amuria District","2022W41",2388,1672,716,30
"25","Apac District","2022W39",2704,1666,1038,38.4
"26","Apac District","2022W40",2224,1666,558,25.1
"27","Apac District","2022W41",2291,1666,625,27.3
"28","Arua City","2022W39",2426,1185,1241,51.2
"34","Budaka District","2022W39",3445,420,3025,87.8
"35","Budaka District","2022W40",6080,420,5660,93.1
"36","Budaka District","2022W41",3312,420,2892,87.3
"37","Bududa District","2022W39",467,455,12,2.6
"40","Bugiri District","2022W39",3791,1070,2721,71.8
"41","Bugiri District","2022W40",3033,1070,1963,64.7
"42","Bugiri District","2022W41",2453,1070,1383,56.4
"43","Bugweri District","2022W39",2107,1453,654,31
"44","Bugweri District","2022W40",1511,1453,58,3.8
"45","Bugweri District","2022W41",1735,1453,282,16.3
"52","Bukedea District","2022W39",2820,1051,1769,62.7
"53","Bukedea District","2022W40",1520,1051,469,30.9
"54","Bukedea District","2022W41",2288,1051,1237,54.1
"55","Bukomansimbi District","2022W39",895,402,493,55.1
"56","Bukomansimbi District","2022W40",805,402,403,50.1
