"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"1","Abim District","2022W40","Karamoja",21,90.5,2666,NA,820,1726,31625,429720,1621,762,109,40
"2","Adjumani District","2022W40","West Nile",53,73.9,7712,NA,4793,7932,44104,3878301,6777,4862,399,206
"3","Agago District","2022W40","Acholi",43,95.3,10004,1,6451,8273,107287,2653583,8204,6377,478,121
"4","Alebtong District","2022W40","Lango",21,100,4108,NA,2128,3130,7690,726202,2299,1644,833,635
"5","Amolatar District","2022W40","Lango",16,92.9,5470,NA,3211,3685,70256,242529,3513,2644,172,108
"6","Amudat District","2022W40","Karamoja",13,100,1602,NA,514,1095,18441,454088,1057,485,68,40
"7","Amuria District","2022W40","Teso",27,88.5,6159,NA,2919,5164,282408,906923,4847,3024,421,135
"8","Amuru District","2022W40","Acholi",36,65.6,2209,NA,1178,1651,3823,463259,1437,927,218,153
"9","Apac District","2022W40","Lango",53,61.4,4285,NA,2224,2918,24120,426546,2470,1680,432,279
"10","Arua City","2022W40","West Nile",57,81.8,3029,NA,790,1809,7639,939526,1246,780,643,226
"11","Arua District","2022W40","West Nile",10,100,1355,NA,511,1040,12176,1151707,998,522,41,13
"12","Budaka District","2022W40","Bukedi",24,94.1,6144,NA,6080,5161,95289,306729,5078,3683,91,29
"13","Bududa District","2022W40","Bugisu",19,81.2,2515,NA,364,1190,9653,75030,745,200,259,87
"14","Bugiri District","2022W40","Busoga",59,72.7,6042,NA,3033,4884,104954,884338,4685,3018,227,127
"15","Bugweri District","2022W40","Busoga",31,100,2582,1,1511,2556,39116,374357,1955,1461,551,272
"16","Buhweju District","2022W40","Ankole",20,85,1497,NA,75,225,1588,25421,180,48,45,17
"17","Buikwe District","2022W40","North Central",81,63.1,7875,NA,1341,2833,49665,607609,2439,1157,394,139
"18","Bukedea District","2022W40","Teso",22,60,2518,NA,1520,3298,152701,254055,3246,1955,41,21
"19","Bukomansimbi District","2022W40","South Central",28,88.9,2359,1,805,1267,8493,149569,1079,666,190,120
"20","Bukwo District","2022W40","Bugisu",23,57.9,939,NA,60,250,9434,104182,250,66,NA,NA
"21","Bulambuli District","2022W40","Bugisu",29,92.3,3064,NA,726,1698,23680,128150,1589,661,89,47
