"district","year","week","rdt_stock_weeks","rdt_stockout"
"Abim District",2022,52,31.0540265035678,"Overstock"
"Adjumani District",2022,52,12.7796278158668,"Adequate stock"
"Agago District",2022,52,15.4220249520154,"Adequate stock"
"Alebtong District",2022,52,4.17009602194787,"Understock"
"Amolatar District",2022,52,31.0042903110476,"Overstock"
"Amudat District",2022,52,44.658,"Overstock"
"Amuria District",2022,52,100.847540983607,"Overstock"
"Amuru District",2022,52,1.35467980295567,"Understock"
"Apac District",2022,52,4.76735732460923,"Understock"
"Arua City",2022,52,4.66561514195584,"Understock"
"Arua District",2022,52,46.009009009009,"Overstock"
"Budaka District",2022,52,17.3852379410813,"Adequate stock"
"Bududa District",2022,52,6.03079884504331,"Understock"
"Bugiri District",2022,52,30.8497327884313,"Overstock"
"Bugweri District",2022,52,11.0408773678963,"Adequate stock"
"Buhweju District",2022,52,9.64197530864197,"Adequate stock"
"Buikwe District",2022,52,18.6750948166877,"Adequate stock"
"Bukedea District",2022,52,26.3783068783069,"Overstock"
"Bukomansimbi District",2022,52,5.17950581395349,"Understock"
"Bukwo District",2022,52,11.6478873239437,"Adequate stock"
"Bulambuli District",2022,52,8.34820562560621,"Adequate stock"
"Buliisa District",2022,52,27.543956043956,"Overstock"
"Bundibugyo District",2022,52,7.03948967193196,"Understock"
"Bunyangabu District",2022,52,3.04338394793926,"Understock"
"Bushenyi District",2022,52,39.877358490566,"Overstock"
"Busia District",2022,52,9.10342950462711,"Adequate stock"
"Butaleja District",2022,52,4.56163934426229,"Understock"
"Butambala District",2022,52,4.84261241970021,"Understock"
"Butebo District",2022,52,19.3345323741007,"Adequate stock"
"Buvuma District",2022,52,13.6706302021403,"Adequate stock"
"Buyende District",2022,52,20.1904761904762,"Overstock"
"Dokolo District",2022,52,29.7793867120954,"Overstock"
"Fort Portal City",2022,52,11.2145110410095,"Adequate stock"
"Gomba District",2022,52,4.62545191612437,"Understock"
"Gulu City",2022,52,9.33741258741259,"Adequate stock"
"Gulu District",2022,52,38.8631813125695,"Overstock"
"Hoima City",2022,52,9.83333333333333,"Adequate stock"
"Hoima District",2022,52,14.442930153322,"Adequate stock"
"Ibanda District",2022,52,14.312301407172,"Adequate stock"
"Iganga District",2022,52,25.8898132741727,"Overstock"
"Isingiro District",2022,52,88.5758943497158,"Overstock"
"Jinja City",2022,52,20.3167818981772,"Overstock"
"Jinja District",2022,52,28.8716666666667,"Overstock"
"Kaabong District",2022,52,108.871628910464,"Overstock"
"Kabale District",2022,52,17.8217948717949,"Adequate stock"
"Kabarole District",2022,52,20.6683937823834,"Overstock"
"Kaberamaido District",2022,52,5.52124645892351,"Understock"
"Kagadi District",2022,52,20.4328358208955,"Overstock"
"Kakumiro District",2022,52,12.7099567099567,"Adequate stock"
"Kalaki District",2022,52,18.2708492731446,"Adequate stock"
"Kalangala District",2022,52,19.0884353741497,"Adequate stock"
"Kaliro District",2022,52,8.02115655853314,"Adequate stock"
"Kalungu District",2022,52,4.41687141687142,"Understock"
"Kampala District",2022,52,4.44672194073392,"Understock"
"Kamuli District",2022,52,18.935022284776,"Adequate stock"
"Kamwenge District",2022,52,4.93065187239945,"Understock"
"Kanungu District",2022,52,9.39174423310401,"Adequate stock"
"Kapchorwa District",2022,52,15.74,"Adequate stock"
"Kapelebyong District",2022,52,58.1683168316832,"Overstock"
"Karenga District",2022,52,28.3960720130933,"Overstock"
"Kasese District",2022,52,4.95584,"Understock"
"Kassanda District",2022,52,4.94679564691657,"Understock"
"Katakwi District",2022,52,11.5428370786517,"Adequate stock"
"Kayunga District",2022,52,14.3759750390016,"Adequate stock"
"Kazo District",2022,52,21.8614690721649,"Overstock"
"Kibaale District",2022,52,16.1597826086957,"Adequate stock"
"Kiboga District",2022,52,7.86510449651678,"Understock"
"Kibuku District",2022,52,23.4084437898871,"Overstock"
"Kikuube District",2022,52,6.74402730375427,"Understock"
"Kiruhura District",2022,52,28.4188422247446,"Overstock"
"Kiryandongo District",2022,52,11.3667687595712,"Adequate stock"
"Kisoro District",2022,52,21.8241869918699,"Overstock"
"Kitagwenda District",2022,52,1.41784702549575,"Understock"
"Kitgum District",2022,52,41.2826666666667,"Overstock"
"Koboko District",2022,52,27.6458333333333,"Overstock"
"Kole District",2022,52,5.25065274151436,"Understock"
"Kotido District",2022,52,84.0351170568562,"Overstock"
"Kumi District",2022,52,76.3675582398619,"Overstock"
"Kwania District",2022,52,58.7388809182209,"Overstock"
"Kween District",2022,52,10.7724867724868,"Adequate stock"
"Kyankwanzi District",2022,52,3.22271386430678,"Understock"
"Kyegegwa District",2022,52,6.89725490196078,"Understock"
"Kyenjojo District",2022,52,5.38039215686275,"Understock"
"Kyotera District",2022,52,7.19688671086768,"Understock"
"Lamwo District",2022,52,7.45488721804511,"Understock"
"Lira City",2022,52,48.5212240868707,"Overstock"
"Lira District",2022,52,9.56475170399221,"Adequate stock"
"Luuka District",2022,52,19.5603345280765,"Adequate stock"
"Luwero District",2022,52,3.32519422863485,"Understock"
"Lwengo District",2022,52,7.06875631951466,"Understock"
"Lyantonde District",2022,52,3.97493517718237,"Understock"
