"location_id","district","dataElement","period","orgUnit","value","reporting_rate","year","week"
"A4aGXEfdb8P","Zombo District","C4oUitImBPK.REPORTING_RATE","2022W52","A4aGXEfdb8P",100,100,2022,52
"A9kRCvmn6Co","Moroto District","C4oUitImBPK.REPORTING_RATE","2022W52","A9kRCvmn6Co",94.7,94.7,2022,52
"AIonX4LaJeU","Bugweri District","C4oUitImBPK.REPORTING_RATE","2022W52","AIonX4LaJeU",96.7,96.7,2022,52
"ALFFOStwtqW","Mbale City","C4oUitImBPK.REPORTING_RATE","2022W52","ALFFOStwtqW",65.9,65.9,2022,52
"AS2Seq1grGE","Kazo District","C4oUitImBPK.REPORTING_RATE","2022W52","AS2Seq1grGE",67.7,67.7,2022,52
"AhwgeZQYj16","Bududa District","C4oUitImBPK.REPORTING_RATE","2022W52","AhwgeZQYj16",93.8,93.8,2022,52
"Ame30QOwuX6","Bukomansimbi District","C4oUitImBPK.REPORTING_RATE","2022W52","Ame30QOwuX6",81.5,81.5,2022,52
"B0G9cqixld8","Kiryandongo District","C4oUitImBPK.REPORTING_RATE","2022W52","B0G9cqixld8",64.3,64.3,2022,52
"C0RSe3EWBqU","Amuru District","C4oUitImBPK.REPORTING_RATE","2022W52","C0RSe3EWBqU",53.1,53.1,2022,52
"CQTmrrriwOq","Buliisa District","C4oUitImBPK.REPORTING_RATE","2022W52","CQTmrrriwOq",60,60,2022,52
"EDhGji3EteB","Napak District","C4oUitImBPK.REPORTING_RATE","2022W52","EDhGji3EteB",94.4,94.4,2022,52
"F3ccON3OCsL","Buyende District","C4oUitImBPK.REPORTING_RATE","2022W52","F3ccON3OCsL",100,100,2022,52
"FDPqRvcW3NN","Butebo District","C4oUitImBPK.REPORTING_RATE","2022W52","FDPqRvcW3NN",90.9,90.9,2022,52
"FLygHiUd2UW","Mitooma District","C4oUitImBPK.REPORTING_RATE","2022W52","FLygHiUd2UW",83.3,83.3,2022,52
"GLHh0BXys9w","Kiboga District","C4oUitImBPK.REPORTING_RATE","2022W52","GLHh0BXys9w",76.6,76.6,2022,52
"Gwk4wkLz7EW","Gulu District","C4oUitImBPK.REPORTING_RATE","2022W52","Gwk4wkLz7EW",70.8,70.8,2022,52
"Hmh5JQLls1d","Karenga District","C4oUitImBPK.REPORTING_RATE","2022W52","Hmh5JQLls1d",70,70,2022,52
"IVuiLJYABw6","Kyankwanzi District","C4oUitImBPK.REPORTING_RATE","2022W52","IVuiLJYABw6",100,100,2022,52
"It5UGwdHAPF","Bushenyi District","C4oUitImBPK.REPORTING_RATE","2022W52","It5UGwdHAPF",91.3,91.3,2022,52
"JIZDvNlIhXS","Manafwa District","C4oUitImBPK.REPORTING_RATE","2022W52","JIZDvNlIhXS",41.7,41.7,2022,52
"JrHILmtK0OU","Kalangala District","C4oUitImBPK.REPORTING_RATE","2022W52","JrHILmtK0OU",95.8,95.8,2022,52
"JyZJhGXKeEq","Apac District","C4oUitImBPK.REPORTING_RATE","2022W52","JyZJhGXKeEq",61.4,61.4,2022,52
"KJkbK1YhjFb","Masaka City","C4oUitImBPK.REPORTING_RATE","2022W52","KJkbK1YhjFb",71.4,71.4,2022,52
"KOnkIf4N6jA","Kalaki District","C4oUitImBPK.REPORTING_RATE","2022W52","KOnkIf4N6jA",75,75,2022,52
"KhT80mlwJ3Y","Tororo District","C4oUitImBPK.REPORTING_RATE","2022W52","KhT80mlwJ3Y",52.6,52.6,2022,52
"L5WBetpBpY3","Kikuube District","C4oUitImBPK.REPORTING_RATE","2022W52","L5WBetpBpY3",100,100,2022,52
"Lj8t70RYnEt","Lira District","C4oUitImBPK.REPORTING_RATE","2022W52","Lj8t70RYnEt",100,100,2022,52
"Lnewt3iIJaK","Kakumiro District","C4oUitImBPK.REPORTING_RATE","2022W52","Lnewt3iIJaK",88.6,88.6,2022,52
"MtpE3CH6vq3","Butaleja District","C4oUitImBPK.REPORTING_RATE","2022W52","MtpE3CH6vq3",68,68,2022,52
"NREoMszwQZW","Abim District","C4oUitImBPK.REPORTING_RATE","2022W52","NREoMszwQZW",100,100,2022,52
"O9MoQcpZ4uA","Kyenjojo District","C4oUitImBPK.REPORTING_RATE","2022W52","O9MoQcpZ4uA",90.2,90.2,2022,52
"Oyxwe3iDqpR","Kibuku District","C4oUitImBPK.REPORTING_RATE","2022W52","Oyxwe3iDqpR",94.1,94.1,2022,52
"P8iz90eiIrW","Rakai District","C4oUitImBPK.REPORTING_RATE","2022W52","P8iz90eiIrW",100,100,2022,52
"PJFtfCyp6Rb","Hoima District","C4oUitImBPK.REPORTING_RATE","2022W52","PJFtfCyp6Rb",100,100,2022,52
"Pvl4FVXO0RD","Kassanda District","C4oUitImBPK.REPORTING_RATE","2022W52","Pvl4FVXO0RD",51.4,51.4,2022,52
"Q7PaNIbyZII","Mityana District","C4oUitImBPK.REPORTING_RATE","2022W52","Q7PaNIbyZII",83.8,83.8,2022,52
"QYiQ2KqgCxj","Adjumani District","C4oUitImBPK.REPORTING_RATE","2022W52","QYiQ2KqgCxj",84.3,84.3,2022,52
"QoRZB7xc3j9","Kaberamaido District","C4oUitImBPK.REPORTING_RATE","2022W52","QoRZB7xc3j9",100,100,2022,52
"R1x33oSVR1M","Fort Portal City","C4oUitImBPK.REPORTING_RATE","2022W52","R1x33oSVR1M",96.3,96.3,2022,52
"REJuxCmTwXG","Kyotera District","C4oUitImBPK.REPORTING_RATE","2022W52","REJuxCmTwXG",97.7,97.7,2022,52
"S5fvUXgY54J","Omoro District","C4oUitImBPK.REPORTING_RATE","2022W52","S5fvUXgY54J",77.8,77.8,2022,52
"TGzZPOmbgn8","Namisindwa District","C4oUitImBPK.REPORTING_RATE","2022W52","TGzZPOmbgn8",71.4,71.4,2022,52
"TM6ccNxawqy","Amuria District","C4oUitImBPK.REPORTING_RATE","2022W52","TM6ccNxawqy",69.2,69.2,2022,52
"UaR7OHycj8c","Isingiro District","C4oUitImBPK.REPORTING_RATE","2022W52","UaR7OHycj8c",94.4,94.4,2022,52
"Ut0ysYGEipO","Namayingo District","C4oUitImBPK.REPORTING_RATE","2022W52","Ut0ysYGEipO",100,100,2022,52
"VuHCApXcMTm","Nakapiripirit District","C4oUitImBPK.REPORTING_RATE","2022W52","VuHCApXcMTm",61.5,61.5,2022,52
"W0kQBddyGyh","Moyo District","C4oUitImBPK.REPORTING_RATE","2022W52","W0kQBddyGyh",54.8,54.8,2022,52
"W1JM2Qdhcv3","Yumbe District","C4oUitImBPK.REPORTING_RATE","2022W52","W1JM2Qdhcv3",87.5,87.5,2022,52
"W7kX446X8Jn","Mbarara City","C4oUitImBPK.REPORTING_RATE","2022W52","W7kX446X8Jn",97.8,97.8,2022,52
"WcB3kLlgRTb","Arua District","C4oUitImBPK.REPORTING_RATE","2022W52","WcB3kLlgRTb",80,80,2022,52
"WiVj4bEhX4P","Pallisa District","C4oUitImBPK.REPORTING_RATE","2022W52","WiVj4bEhX4P",100,100,2022,52
"WyR8Eetj7Uw","Maracha District","C4oUitImBPK.REPORTING_RATE","2022W52","WyR8Eetj7Uw",72.2,72.2,2022,52
"Xjc0LDFa5gW","Nebbi District","C4oUitImBPK.REPORTING_RATE","2022W52","Xjc0LDFa5gW",96.2,96.2,2022,52
"Y4LV8xqkv6J","Kole District","C4oUitImBPK.REPORTING_RATE","2022W52","Y4LV8xqkv6J",100,100,2022,52
"YMMexeHFUay","Mpigi District","C4oUitImBPK.REPORTING_RATE","2022W52","YMMexeHFUay",79.3,79.3,2022,52
"ZqJ9w7mzitv","Hoima City","C4oUitImBPK.REPORTING_RATE","2022W52","ZqJ9w7mzitv",55,55,2022,52
"ZuQHWOaFQVM","Amolatar District","C4oUitImBPK.REPORTING_RATE","2022W52","ZuQHWOaFQVM",100,100,2022,52
"a0DfYpC2Rwl","Mukono District","C4oUitImBPK.REPORTING_RATE","2022W52","a0DfYpC2Rwl",66.1,66.1,2022,52
"a3LMKP8z8Xj","Butambala District","C4oUitImBPK.REPORTING_RATE","2022W52","a3LMKP8z8Xj",75,75,2022,52
"a8RHFdF4DXL","Amudat District","C4oUitImBPK.REPORTING_RATE","2022W52","a8RHFdF4DXL",92.3,92.3,2022,52
"a9tQqo1rSj7","Kyegegwa District","C4oUitImBPK.REPORTING_RATE","2022W52","a9tQqo1rSj7",50,50,2022,52
"aBrjuZk0W31","Pader District","C4oUitImBPK.REPORTING_RATE","2022W52","aBrjuZk0W31",95.7,95.7,2022,52
"aIahLLmtvgT","Wakiso District","C4oUitImBPK.REPORTING_RATE","2022W52","aIahLLmtvgT",56.9,56.9,2022,52
"aJR2ZxSH7g4","Jinja District","C4oUitImBPK.REPORTING_RATE","2022W52","aJR2ZxSH7g4",67.5,67.5,2022,52
"aPRNSGUR3vk","Lyantonde District","C4oUitImBPK.REPORTING_RATE","2022W52","aPRNSGUR3vk",95.8,95.8,2022,52
"aPZzL4CyBTg","Kotido District","C4oUitImBPK.REPORTING_RATE","2022W52","aPZzL4CyBTg",59.1,59.1,2022,52
"aPhSZRinfbg","Kisoro District","C4oUitImBPK.REPORTING_RATE","2022W52","aPhSZRinfbg",89.4,89.4,2022,52
"aSbgVKaeCP0","Nakaseke District","C4oUitImBPK.REPORTING_RATE","2022W52","aSbgVKaeCP0",53.3,53.3,2022,52
"aUcYGQCK9ub","Nakasongola District","C4oUitImBPK.REPORTING_RATE","2022W52","aUcYGQCK9ub",68.3,68.3,2022,52
"aXjub1BYn1y","Otuke District","C4oUitImBPK.REPORTING_RATE","2022W52","aXjub1BYn1y",76.5,76.5,2022,52
"aXmBzv61LbM","Kampala District","C4oUitImBPK.REPORTING_RATE","2022W52","aXmBzv61LbM",85.9,85.9,2022,52
"aZLZPPjqft0","Buvuma District","C4oUitImBPK.REPORTING_RATE","2022W52","aZLZPPjqft0",92.3,92.3,2022,52
"aa8xVDzSpte","Kasese District","C4oUitImBPK.REPORTING_RATE","2022W52","aa8xVDzSpte",68.9,68.9,2022,52
"aginheWSLef","Kapchorwa District","C4oUitImBPK.REPORTING_RATE","2022W52","aginheWSLef",66.7,66.7,2022,52
"ahyi8Uq4vaj","Kalungu District","C4oUitImBPK.REPORTING_RATE","2022W52","ahyi8Uq4vaj",91.7,91.7,2022,52
"aj4hsYK3dVm","Ngora District","C4oUitImBPK.REPORTING_RATE","2022W52","aj4hsYK3dVm",53.8,53.8,2022,52
"aphcy5JTnd6","Kanungu District","C4oUitImBPK.REPORTING_RATE","2022W52","aphcy5JTnd6",72.7,72.7,2022,52
"aqpd0Y9eXZ2","Lwengo District","C4oUitImBPK.REPORTING_RATE","2022W52","aqpd0Y9eXZ2",64.3,64.3,2022,52
"auLatLbcOxf","Bulambuli District","C4oUitImBPK.REPORTING_RATE","2022W52","auLatLbcOxf",80.8,80.8,2022,52
"auswb7JO9wY","Mbarara District","C4oUitImBPK.REPORTING_RATE","2022W52","auswb7JO9wY",92.3,92.3,2022,52
"bIONCoCnt3Q","Masaka District","C4oUitImBPK.REPORTING_RATE","2022W52","bIONCoCnt3Q",100,100,2022,52
"bJgx6UjvyoP","Terego District","C4oUitImBPK.REPORTING_RATE","2022W52","bJgx6UjvyoP",100,100,2022,52
"bLoH4VbxCGI","Madi-Okollo District","C4oUitImBPK.REPORTING_RATE","2022W52","bLoH4VbxCGI",100,100,2022,52
"cSrCFjPKqcG","Katakwi District","C4oUitImBPK.REPORTING_RATE","2022W52","cSrCFjPKqcG",77.8,77.8,2022,52
"e8m9ZYMRoeR","Bukwo District","C4oUitImBPK.REPORTING_RATE","2022W52","e8m9ZYMRoeR",73.7,73.7,2022,52
"eOJUW6OGpc7","Kaabong District","C4oUitImBPK.REPORTING_RATE","2022W52","eOJUW6OGpc7",100,100,2022,52
"esIUe2tQAtL","Namutumba District","C4oUitImBPK.REPORTING_RATE","2022W52","esIUe2tQAtL",100,100,2022,52
"fS71jg1WYPk","Rubirizi District","C4oUitImBPK.REPORTING_RATE","2022W52","fS71jg1WYPk",100,100,2022,52
"fsP0Wxie1UW","Rukiga District","C4oUitImBPK.REPORTING_RATE","2022W52","fsP0Wxie1UW",100,100,2022,52
"g8M1cWRJZV6","Bundibugyo District","C4oUitImBPK.REPORTING_RATE","2022W52","g8M1cWRJZV6",90.3,90.3,2022,52
"gCN6sU5BjlR","Kwania District","C4oUitImBPK.REPORTING_RATE","2022W52","gCN6sU5BjlR",53.8,53.8,2022,52
"gUaoj8Geuao","Bugiri District","C4oUitImBPK.REPORTING_RATE","2022W52","gUaoj8Geuao",80,80,2022,52
"h1O9AvNR4jS","Kween District","C4oUitImBPK.REPORTING_RATE","2022W52","h1O9AvNR4jS",88.9,88.9,2022,52
"hAoe9dhZh9V","Ntungamo District","C4oUitImBPK.REPORTING_RATE","2022W52","hAoe9dhZh9V",70.8,70.8,2022,52
"hn1AlYtF1Pu","Luuka District","C4oUitImBPK.REPORTING_RATE","2022W52","hn1AlYtF1Pu",53.5,53.5,2022,52
"iQTVPmAJPkr","Arua City","C4oUitImBPK.REPORTING_RATE","2022W52","iQTVPmAJPkr",63.6,63.6,2022,52
"iRUvO30ij3h","Soroti City","C4oUitImBPK.REPORTING_RATE","2022W52","iRUvO30ij3h",60,60,2022,52
"iTfbtn6JUsN","Bunyangabu District","C4oUitImBPK.REPORTING_RATE","2022W52","iTfbtn6JUsN",90.9,90.9,2022,52
"iqsaGItA68C","Koboko District","C4oUitImBPK.REPORTING_RATE","2022W52","iqsaGItA68C",55,55,2022,52
