"district","year","week","tpr_district","tpr_status"
"Yumbe District",2022,52,63.575,"5. 55-70%"
"Ntoroko District",2022,52,51.5666666666667,"4. 40-55%"
"Budaka District",2022,52,66.45,"5. 55-70%"
"Kampala District",2022,52,33.9041666666667,"3. 25-40%"
"Amuria District",2022,52,47.9833333333333,"4. 40-55%"
"Bunyangabu District",2022,52,42,"4. 40-55%"
"Arua City",2022,52,31.35,"3. 25-40%"
"Masindi District",2022,52,39.7714285714286,"3. 25-40%"
"Soroti District",2022,52,55.64,"5. 55-70%"
"Busia District",2022,52,45.6666666666667,"4. 40-55%"
"Mbale City",2022,52,42.3375,"4. 40-55%"
"Kayunga District",2022,52,45.5714285714286,"4. 40-55%"
"Kazo District",2022,52,72.3666666666667,"6. >70%"
"Kyotera District",2022,52,54.05,"4. 40-55%"
"Jinja City",2022,52,27.9666666666667,"3. 25-40%"
"Kaberamaido District",2022,52,68.3,"5. 55-70%"
"Mityana District",2022,52,50.59,"4. 40-55%"
"Nwoya District",2022,52,58.4111111111111,"5. 55-70%"
"Butaleja District",2022,52,75.9333333333333,"6. >70%"
"Bushenyi District",2022,52,34.05,"3. 25-40%"
"Lamwo District",2022,52,58,"5. 55-70%"
"Kamwenge District",2022,52,58.04,"5. 55-70%"
"Kalaki District",2022,52,67.475,"5. 55-70%"
"Wakiso District",2022,52,33.30625,"3. 25-40%"
"Mpigi District",2022,52,54.75,"4. 40-55%"
"Kanungu District",2022,52,33.6375,"3. 25-40%"
"Bugiri District",2022,52,50.7,"4. 40-55%"
"Hoima City",2022,52,22.65,"2. 10-25%"
"Kagadi District",2022,52,65.275,"5. 55-70%"
"Serere District",2022,52,63.4625,"5. 55-70%"
"Lwengo District",2022,52,60.2,"5. 55-70%"
"Gulu City",2022,52,30.3,"3. 25-40%"
"Namayingo District",2022,52,68.0166666666667,"5. 55-70%"
"Lira District",2022,52,61.9666666666667,"5. 55-70%"
"Kalungu District",2022,52,56.1777777777778,"5. 55-70%"
"Soroti City",2022,52,64.9,"5. 55-70%"
"Kole District",2022,52,63.94,"5. 55-70%"
"Pallisa District",2022,52,52.94,"4. 40-55%"
"Lira City",2022,52,67.8571428571429,"5. 55-70%"
"Buikwe District",2022,52,47.5444444444444,"4. 40-55%"
"Kyenjojo District",2022,52,54.7,"4. 40-55%"
"Kasese District",2022,52,40.6954545454545,"4. 40-55%"
"Buyende District",2022,52,65.05,"5. 55-70%"
"Nakapiripirit District",2022,52,53.9333333333333,"4. 40-55%"
"Moyo District",2022,52,58.2,"5. 55-70%"
"Fort Portal City",2022,52,31.1,"3. 25-40%"
"Luwero District",2022,52,56.9047619047619,"5. 55-70%"
"Isingiro District",2022,52,56.625,"5. 55-70%"
"Terego District",2022,52,62.16,"5. 55-70%"
"Masaka District",2022,52,64.9333333333333,"5. 55-70%"
"Iganga District",2022,52,59.1555555555556,"5. 55-70%"
"Sheema District",2022,52,19.1,"2. 10-25%"
"Mbarara City",2022,52,26.4142857142857,"3. 25-40%"
"Adjumani District",2022,52,57.96,"5. 55-70%"
"Luuka District",2022,52,67.3,"5. 55-70%"
"Oyam District",2022,52,59.3727272727273,"5. 55-70%"
"Rubirizi District",2022,52,92.95,"6. >70%"
"Bukedea District",2022,52,54.5666666666667,"4. 40-55%"
"Tororo District",2022,52,80.9142857142857,"6. >70%"
"Kisoro District",2022,52,24.1,"2. 10-25%"
"Kiboga District",2022,52,53.1363636363636,"4. 40-55%"
"Madi-Okollo District",2022,52,71.24,"6. >70%"
"Manafwa District",2022,52,77,"6. >70%"
"Nakasongola District",2022,52,47.9454545454545,"4. 40-55%"
"Bundibugyo District",2022,52,79.0428571428571,"6. >70%"
"Otuke District",2022,52,65.525,"5. 55-70%"
"Sembabule District",2022,52,54.82,"4. 40-55%"
"Sironko District",2022,52,42.625,"4. 40-55%"
"Hoima District",2022,52,31.7,"3. 25-40%"
"Kikuube District",2022,52,56.95,"5. 55-70%"
"Lyantonde District",2022,52,43.68,"4. 40-55%"
"Kyankwanzi District",2022,52,53.24,"4. 40-55%"
"Masaka City",2022,52,46.6,"4. 40-55%"
"Kiruhura District",2022,52,48,"4. 40-55%"
"Kapelebyong District",2022,52,36.2666666666667,"3. 25-40%"
"Mbale District",2022,52,38.81,"3. 25-40%"
"Zombo District",2022,52,36.5666666666667,"3. 25-40%"
"Bududa District",2022,52,30,"3. 25-40%"
"Bukomansimbi District",2022,52,66.4833333333333,"5. 55-70%"
"Jinja District",2022,52,46.34,"4. 40-55%"
"Kitagwenda District",2022,52,59.82,"5. 55-70%"
"Rakai District",2022,52,61.0142857142857,"5. 55-70%"
"Rukungiri District",2022,52,32.475,"3. 25-40%"
"Koboko District",2022,52,28.3,"3. 25-40%"
"Kaabong District",2022,52,63.5,"5. 55-70%"
"Namisindwa District",2022,52,41.0333333333333,"4. 40-55%"
"Omoro District",2022,52,50.02,"4. 40-55%"
"Nebbi District",2022,52,48.75,"4. 40-55%"
"Dokolo District",2022,52,66.7571428571429,"5. 55-70%"
"Pader District",2022,52,61,"5. 55-70%"
"Kakumiro District",2022,52,64.2,"5. 55-70%"
"Kibuku District",2022,52,76.4142857142857,"6. >70%"
"Katakwi District",2022,52,57.3,"5. 55-70%"
"Namutumba District",2022,52,60.7,"5. 55-70%"
"Mukono District",2022,52,39.4416666666667,"3. 25-40%"
"Kumi District",2022,52,54.5666666666667,"4. 40-55%"
"Mubende District",2022,52,54.725,"4. 40-55%"
"Kamuli District",2022,52,63.3285714285714,"5. 55-70%"
"Kitgum District",2022,52,52.68,"4. 40-55%"
"Kalangala District",2022,52,43.05,"4. 40-55%"
"Bugweri District",2022,52,71,"6. >70%"
"Bukwo District",2022,52,27.55,"3. 25-40%"
"Butambala District",2022,52,67.48,"5. 55-70%"
"Mayuge District",2022,52,38.1285714285714,"3. 25-40%"
"Amolatar District",2022,52,66.2,"5. 55-70%"
"Apac District",2022,52,73.9,"6. >70%"
