"district","region","Facility_total","year","week","tx_stock_weeks","tx_stockout"
"Abim District","Karamoja",21,2022,52,59.0663194003303,"Overstock"
"Adjumani District","West Nile",54,2022,52,112.287772383426,"Overstock"
"Agago District","Acholi",43,2022,52,41.6069599679387,"Overstock"
"Alebtong District","Lango",21,2022,52,27.6928960545865,"Overstock"
"Amolatar District","Lango",16,2022,52,5.17356049047861,"Understock"
"Amudat District","Karamoja",13,2022,52,111.142448330684,"Overstock"
"Amuria District","Teso",27,2022,52,36.2487651549169,"Overstock"
"Amuru District","Acholi",36,2022,52,6.25300856840281,"Understock"
"Apac District","Lango",53,2022,52,8.04018969151178,"Adequate stock"
"Arua City","West Nile",57,2022,52,121.53505992561,"Overstock"
"Arua District","West Nile",10,2022,52,174.297385620915,"Overstock"
"Budaka District","Bukedi",24,2022,52,1.23644520527729,"Understock"
"Bududa District","Bugisu",19,2022,52,27.7533468559838,"Overstock"
"Bugiri District","Busoga",59,2022,52,21.1422425886094,"Overstock"
"Bugweri District","Busoga",31,2022,52,16.383115782336,"Adequate stock"
"Buhweju District","Ankole",20,2022,52,16.6770053475936,"Adequate stock"
"Buikwe District","North Central",81,2022,52,15.7087696975629,"Adequate stock"
"Bukedea District","Teso",22,2022,52,6.08092945363199,"Understock"
"Bukomansimbi District","South Central",28,2022,52,8.06294117647059,"Adequate stock"
"Bukwo District","Bugisu",23,2022,52,42.6926308985133,"Overstock"
"Bulambuli District","Bugisu",29,2022,52,11.1449211263453,"Adequate stock"
"Buliisa District","Bunyoro",15,2022,52,15.5577540106952,"Adequate stock"
"Bundibugyo District","Tooro",32,2022,52,119.848726953468,"Overstock"
"Bunyangabu District","Tooro",36,2022,52,6.96043727225403,"Understock"
"Bushenyi District","Ankole",47,2022,52,36.9910588235294,"Overstock"
"Busia District","Bukedi",37,2022,52,9.04971098265896,"Adequate stock"
"Butaleja District","Bukedi",33,2022,52,12.6312407315868,"Adequate stock"
"Butambala District","South Central",24,2022,52,18.6934046345811,"Adequate stock"
"Butebo District","Bukedi",11,2022,52,17.0483351235231,"Adequate stock"
"Buvuma District","North Central",14,2022,52,10.5760869565217,"Adequate stock"
"Buyende District","Busoga",27,2022,52,8.97665475029791,"Adequate stock"
"Dokolo District","Lango",24,2022,52,10.5975742075486,"Adequate stock"
"Fort Portal City","Tooro",28,2022,52,66.8407740946542,"Overstock"
"Gomba District","South Central",22,2022,52,2.09723140192407,"Understock"
"Gulu City","Acholi",50,2022,52,79.0527869072372,"Overstock"
"Gulu District","Acholi",24,2022,52,11.9325158634883,"Adequate stock"
"Hoima City","Bunyoro",22,2022,52,192.907020872865,"Overstock"
"Hoima District","Bunyoro",21,2022,52,135.671132509943,"Overstock"
"Ibanda District","Ankole",67,2022,52,87.499480357514,"Overstock"
"Iganga District","Busoga",57,2022,52,17.713473614245,"Adequate stock"
"Isingiro District","Ankole",80,2022,52,17.0315666112203,"Adequate stock"
"Jinja City","Busoga",65,2022,52,31.9227022058824,"Overstock"
"Jinja District","Busoga",43,2022,52,9.05371517027864,"Adequate stock"
"Kaabong District","Karamoja",27,2022,52,24.5766027759418,"Overstock"
"Kabale District","Kigezi",66,2022,52,40.4908285895003,"Overstock"
"Kabarole District","Tooro",34,2022,52,11.6369047619048,"Adequate stock"
"Kaberamaido District","Teso",16,2022,52,30.0676405757013,"Overstock"
"Kagadi District","Bunyoro",40,2022,52,35.9948330683625,"Overstock"
"Kakumiro District","Bunyoro",43,2022,52,8.66187299662133,"Adequate stock"
"Kalaki District","Teso",12,2022,52,29.3861267521265,"Overstock"
"Kalangala District","South Central",24,2022,52,2.65513264129181,"Understock"
"Kaliro District","Busoga",35,2022,52,16.1421090853495,"Adequate stock"
"Kalungu District","South Central",45,2022,52,5.60902790119069,"Understock"
"Kampala District","Kampala",1797,2022,52,4.39720388772032,"Understock"
"Kamuli District","Busoga",74,2022,52,6.99966964672847,"Understock"
"Kamwenge District","Tooro",41,2022,52,45.5975303098339,"Overstock"
"Kanungu District","Kigezi",58,2022,52,19.8745051739704,"Adequate stock"
"Kapchorwa District","Bugisu",36,2022,52,29.1783479349187,"Overstock"
"Kapelebyong District","Teso",14,2022,52,174.110953058321,"Overstock"
"Karenga District","Karamoja",10,2022,52,91.5198728139905,"Overstock"
"Kasese District","Tooro",140,2022,52,27.5998526160648,"Overstock"
"Kassanda District","North Central",35,2022,52,16.1873501751798,"Adequate stock"
"Katakwi District","Teso",29,2022,52,26.4151398264224,"Overstock"
"Kayunga District","North Central",90,2022,52,9.34929612870789,"Adequate stock"
"Kazo District","Ankole",36,2022,52,35.9262235689349,"Overstock"
"Kibaale District","Bunyoro",30,2022,52,19.9248244073749,"Adequate stock"
"Kiboga District","North Central",48,2022,52,14.293658685841,"Adequate stock"
"Kibuku District","Bukedi",19,2022,52,13.2449282533399,"Adequate stock"
"Kikuube District","Bunyoro",29,2022,52,10.1126050420168,"Adequate stock"
"Kiruhura District","Ankole",29,2022,52,19.0599128540305,"Adequate stock"
"Kiryandongo District","Bunyoro",41,2022,52,56.7950788158401,"Overstock"
"Kisoro District","Kigezi",51,2022,52,87.9086075108009,"Overstock"
"Kitagwenda District","Tooro",29,2022,52,7.36885813148789,"Understock"
"Kitgum District","Acholi",43,2022,52,35.3337900538723,"Overstock"
"Koboko District","West Nile",25,2022,52,22.7939175670268,"Overstock"
"Kole District","Lango",50,2022,52,5.79110105580694,"Understock"
"Kotido District","Karamoja",22,2022,52,62.1664654131447,"Overstock"
"Kumi District","Teso",35,2022,52,22.32336400818,"Overstock"
"Kwania District","Lango",44,2022,52,2.14689312344656,"Understock"
"Kween District","Bugisu",27,2022,52,12.8847058823529,"Adequate stock"
"Kyankwanzi District","North Central",32,2022,52,7.91822400602032,"Understock"
"Kyegegwa District","Tooro",39,2022,52,19.7056740051392,"Adequate stock"
"Kyenjojo District","Tooro",54,2022,52,10.3617615330922,"Adequate stock"
"Kyotera District","South Central",92,2022,52,8.4741622551259,"Adequate stock"
"Lamwo District","Acholi",32,2022,52,57.0821347088582,"Overstock"
"Lira City","Lango",42,2022,52,38.3466230936819,"Overstock"
"Lira District","Lango",16,2022,52,20.3365175129881,"Overstock"
"Luuka District","Busoga",45,2022,52,13.469163103838,"Adequate stock"
"Luwero District","North Central",101,2022,52,36.8715919880635,"Overstock"
"Lwengo District","South Central",49,2022,52,5.12452432258952,"Understock"
"Lyantonde District","South Central",50,2022,52,6.08005370479147,"Understock"
"Madi-Okollo District","West Nile",19,2022,52,77.8892973856209,"Overstock"
"Manafwa District","Bugisu",13,2022,52,1.27181641887524,"Understock"
"Maracha District","West Nile",18,2022,52,38.9305923061266,"Overstock"
"Masaka City","South Central",43,2022,52,19.4779216726478,"Adequate stock"
"Masaka District","South Central",20,2022,52,5.94089702389269,"Understock"
"Masindi District","Bunyoro",52,2022,52,118.669005997193,"Overstock"
"Mayuge District","Busoga",61,2022,52,6.36603670393777,"Understock"
"Mbale City","Bugisu",48,2022,52,12.7320342832027,"Adequate stock"
"Mbale District","Bugisu",26,2022,52,13.8734015345269,"Adequate stock"
"Mbarara City","Ankole",46,2022,52,108.914620217019,"Overstock"
"Mbarara District","Ankole",27,2022,52,24.4254445964432,"Overstock"
"Mitooma District","Ankole",29,2022,52,98.9327731092437,"Overstock"
"Mityana District","North Central",81,2022,52,17.5520122014628,"Adequate stock"
"Moroto District","Karamoja",19,2022,52,125.393665158371,"Overstock"
"Moyo District","West Nile",35,2022,52,139.444456199746,"Overstock"
"Mpigi District","South Central",61,2022,52,12.5657616892911,"Adequate stock"
"Mubende District","North Central",64,2022,52,12.0501831755029,"Adequate stock"
"Mukono District","North Central",120,2022,52,13.8935642383474,"Adequate stock"
"Nabilatuk District","Karamoja",6,2022,52,7.95070512006098,"Understock"
"Nakapiripirit District","Karamoja",13,2022,52,16.6427546628407,"Adequate stock"
"Nakaseke District","North Central",30,2022,52,22.0022588235294,"Overstock"
"Nakasongola District","North Central",41,2022,52,23.9476798200577,"Overstock"
"Namayingo District","Busoga",41,2022,52,17.8630897317299,"Adequate stock"
"Namisindwa District","Bugisu",23,2022,52,5.30832539201247,"Understock"
"Namutumba District","Busoga",35,2022,52,5.69714334832813,"Understock"
"Napak District","Karamoja",19,2022,52,58.4556613964451,"Overstock"
"Nebbi District","West Nile",26,2022,52,107.231833910035,"Overstock"
"Ngora District","Teso",16,2022,52,46.2944576674601,"Overstock"
"Ntoroko District","Tooro",11,2022,52,13.1488413547237,"Adequate stock"
"Ntungamo District","Ankole",68,2022,52,34.1570984162896,"Overstock"
"Nwoya District","Acholi",26,2022,52,15.1397103740702,"Adequate stock"
"Obongi District","West Nile",20,2022,52,138.750464396285,"Overstock"
"Omoro District","Acholi",40,2022,52,6.7611622962438,"Understock"
"Otuke District","Lango",17,2022,52,4.64620258583783,"Understock"
"Oyam District","Lango",82,2022,52,3.86733779806339,"Understock"
"Pader District","Acholi",50,2022,52,30.1337117185776,"Overstock"
"Pakwach District","West Nile",20,2022,52,16.3871269279562,"Adequate stock"
"Pallisa District","Bukedi",39,2022,52,21.5600685426651,"Overstock"
"Rakai District","South Central",46,2022,52,26.3538888704153,"Overstock"
"Rubanda District","Kigezi",41,2022,52,29.2831737346101,"Overstock"
"Rubirizi District","Ankole",33,2022,52,37.5475349408693,"Overstock"
"Rukiga District","Kigezi",34,2022,52,36.2279411764706,"Overstock"
"Rukungiri District","Kigezi",96,2022,52,133.096818985105,"Overstock"
"Rwampara District","Ankole",21,2022,52,124.68680445151,"Overstock"
"Sembabule District","South Central",51,2022,52,9.51521298174442,"Adequate stock"
"Serere District","Teso",27,2022,52,5.98188082174301,"Understock"
"Sheema District","Ankole",42,2022,52,107.976744186047,"Overstock"
"Sironko District","Bugisu",36,2022,52,12.0749689511121,"Adequate stock"
"Soroti City","Teso",41,2022,52,60.2292089249493,"Overstock"
"Soroti District","Teso",16,2022,52,5.73096036056859,"Understock"
"Terego District","West Nile",29,2022,52,33.1670243125456,"Overstock"
"Tororo District","Bukedi",123,2022,52,52.6972269695132,"Overstock"
"Wakiso District","South Central",639,2022,52,31.2736150155355,"Overstock"
"Yumbe District","West Nile",58,2022,52,93.9166781198461,"Overstock"
"Zombo District","West Nile",22,2022,52,74.5233156519674,"Overstock"
