periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,033B-CD01a. Malaria (diagnosed)  - Cases
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Abim District,NREoMszwQZW,Abim District,,,892.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,3613.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,2020.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Alebtong District,p7EEgDEX3jT,Alebtong District,,,871.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Amolatar District,ZuQHWOaFQVM,Amolatar District,,,1484.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Karamoja,Amudat District,a8RHFdF4DXL,Amudat District,,,210.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Teso,Amuria District,TM6ccNxawqy,Amuria District,,,2041.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,1013.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Lango,Apac District,JyZJhGXKeEq,Apac District,,,1458.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,492.0
2022W1,W1 2022,2022W1,,MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,451.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bukedi,Budaka District,kb7iUQISRlx,Budaka District,,,4046.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Bugisu,Bududa District,AhwgeZQYj16,Bududa District,,,453.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Bugiri District,gUaoj8Geuao,Bugiri District,,,2533.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Busoga,Bugweri District,AIonX4LaJeU,Bugweri District,,,2347.0
2022W1,W1 2022,2022W1,,MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,131.0
