periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,033B-CD01b. Malaria (diagnosed) - Deaths,033B-AP02. Total OPD,033B-CD01a. Malaria (diagnosed)  - Cases,033B-MA01. Suspected Malaria (Fever),033B-TR08. RDT (Malaria) Tests,033B-TR01. ACT (Tablets),033B-MA02. Cases Tested with RDT,033B-MA03. RDT Positive Cases,033B-MA04. Cases Tested with Microscopy,033B-MA05. Microscopy Positive Cases
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Minakulu Subcounty,L&S Medical Centre Clinic,ftNNOiF8eLQ,L&S Medical Centre Clinic,,,,4615.0,992.0,1399.0,2851.0,34591.0,1397.0,823.0,,
2022,2022,2022,,MOH - Uganda,North Central,Kyankwanzi District,Butemba Town Council,Mirembe Clinic,SkWKqttPnXq,Mirembe Clinic,,,,15.0,,4.0,,,4.0,1.0,,
2022,2022,2022,,MOH - Uganda,Bunyoro,Kiryandongo District,Kiryandongo Subcounty,St. Jude Thaddeos Karungu HC III,QHsCNVmRURq,St. Jude Thaddeos Karungu HC III,,,,521.0,257.0,290.0,7816.0,168812.0,237.0,145.0,52.0,15.0
2022,2022,2022,,MOH - Uganda,North Central,Mubende District,Western Division (Mubende MC),303 Brigade HC II,atHXbhmWAsh,303 Brigade HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,West Nile,Moyo District,Moyo Subcounty,309 Brigade Military Moyo HC III,iNLsVN6SOQg,309 Brigade Military Moyo HC III,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,South Central,Kyotera District,Kyotera Town Council,3M Mummy's Dom Clinic,SU6u279D3JC,3M Mummy's Dom Clinic,,,,16.0,,,349.0,3608.0,,,,
2022,2022,2022,,MOH - Uganda,Karamoja,Kotido District,Nakapelimoru Subcounty,405 Brigade HC III,W3hXYmtaQ4Q,405 Brigade HC III,,,,9811.0,3598.0,5968.0,38584.0,162214.0,5710.0,3088.0,74.0,27.0
2022,2022,2022,,MOH - Uganda,Acholi,Pader District,Pader Subcounty,5th Military Division HC IV,auzuV39xOTU,5th Military Division HC IV,,,,8864.0,2961.0,6461.0,13621.0,2556350.0,2200.0,1350.0,4000.0,1584.0
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Entebbe Division A,6K HC II,ka4wo1bKTx6,6K HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Nakawa Division,7 Hills Clinic HC II,kVasRtzumpR,7 Hills Clinic HC II,,,,,,,,,,,,
