"location_name","parent","latitude","longitude","location_id","level","path_to_top_parent","authority","facility_level","operational_status","organisation_unit_levels","ownership"
" L&S Medical Centre Clinic","vFat4pU68Gg",NA,NA,"ftNNOiF8eLQ",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,vFat4pU68Gg,ftNNOiF8eLQ","Private","HC II","Functional","Health Facilities","PFP"
" Mirembe Clinic","beCHk64vc24",1.15532,31.57699,"SkWKqttPnXq",5,"akV6429SUqu,Dl9WvtvDs5V,IVuiLJYABw6,beCHk64vc24,SkWKqttPnXq","Private","HC III","Functional","Health Facilities","PFP"
" St. Jude Thaddeos Karungu HC III","OvshHVjn0lS",2.01433,32.1193,"QHsCNVmRURq",5,"akV6429SUqu,yx0ieyZNF0l,B0G9cqixld8,OvshHVjn0lS,QHsCNVmRURq","Private","HC III","Functional","Health Facilities","PNFP"
"303 Brigade HC II","AgiJUzMaGYS",NA,NA,"atHXbhmWAsh",5,"akV6429SUqu,Dl9WvtvDs5V,lzWuB6bCQeV,AgiJUzMaGYS,atHXbhmWAsh","UPDF",NA,"Non-Functional","Health Facilities","GOV"
"309 Brigade Military Moyo HC III","FH7eT8hveKf",NA,NA,"iNLsVN6SOQg",5,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh,FH7eT8hveKf,iNLsVN6SOQg",NA,"HC III","Functional","Health Facilities","GOV"
"3M Mummy's Dom Clinic","l01FDO0PtI0",NA,NA,"SU6u279D3JC",5,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG,l01FDO0PtI0,SU6u279D3JC","Private","Clinic","Functional","Health Facilities","PFP"
"405 Brigade HC III","agP7sOujwQ7",NA,NA,"W3hXYmtaQ4Q",5,"akV6429SUqu,jdlbNUwJiKX,aPZzL4CyBTg,agP7sOujwQ7,W3hXYmtaQ4Q","UPDF","HC III","Functional","Health Facilities","GOV"
"5th Military Division HC IV","uMZROveCZt0",2.77578,33.00944,"auzuV39xOTU",5,"akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31,uMZROveCZt0,auzuV39xOTU","UPDF","HC IV","Functional","Health Facilities","GOV"
"6K HC II","RTxq0C3ff1y",NA,NA,"ka4wo1bKTx6",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,RTxq0C3ff1y,ka4wo1bKTx6","Private","HC II","Non-Functional","Health Facilities","PFP"
"7 Hills Clinic HC II","kKEBeO1LL7S",NA,NA,"kVasRtzumpR",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,kVasRtzumpR","Private","HC II","Functional","Health Facilities","PFP"
"A & K Clinic HC II","FbuhMjEaMXt",NA,NA,"g44JyPVuZ8h",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,g44JyPVuZ8h","Private","HC II","Non-Functional","Health Facilities","PFP"
"AAA Dental & Oral Surgery Clinic HC II","FbuhMjEaMXt",NA,NA,"EDljgyL8rYo",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,EDljgyL8rYo","Private","HC II","Non-Functional","Health Facilities","PFP"
"Aakum HC II","y1iun1mJXWa",1.99413,34.08282,"J2JiemiIQvD",5,"akV6429SUqu,r0GhWtmPHDj,cSrCFjPKqcG,y1iun1mJXWa,J2JiemiIQvD","MOH","HC II","Functional","Health Facilities","GOV"
"AAR Buganda Road Branch","zNdkt1W9dcu",NA,NA,"KMKSbxhedfy",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,KMKSbxhedfy","Private","HC II","Functional","Health Facilities","PFP"
"AAR Bugolobi Health Care HC II","kKEBeO1LL7S",NA,NA,"FbzPPH8fy5s",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,FbzPPH8fy5s","Private","HC II","Functional","Health Facilities","PFP"
"AAR City Centre HC II","zNdkt1W9dcu",NA,NA,"hE3E3nXNUjX",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,hE3E3nXNUjX","Private","HC II","Functional","Health Facilities","PFP"
"AAR Clinic Acacia HC II","zNdkt1W9dcu",NA,NA,"I6QbcVsphVT",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,I6QbcVsphVT","Private","HC II","Functional","Health Facilities","PFP"
"AAR Clinic Bweyogerere HC II","RQ4bTHOso6m",NA,NA,"Ppyz6vwPpKi",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,RQ4bTHOso6m,Ppyz6vwPpKi","Private","HC II","Non-Functional","Health Facilities","PFP"
"AAR Clinic Freedom City HC II","MmY9teDWcvb",NA,NA,"H9VMaF4vdmM",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,MmY9teDWcvb,H9VMaF4vdmM","Private","HC II","Functional","Health Facilities","PFP"
"AAR Gulu Clinic","LllQ7wFfkGG",NA,NA,"b2LlvIFGc5U",5,"akV6429SUqu,SUvODYOcaVf,szlrGpmFlu9,LllQ7wFfkGG,b2LlvIFGc5U","Private","Clinic","Functional","Health Facilities","PFP"
"AAR Kabalagala Clinic HC II","FbuhMjEaMXt",NA,NA,"pLkoHnX3Ukn",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,pLkoHnX3Ukn","Private","HC II","Functional","Health Facilities","PFP"
"AAR Ntinda HC II","kKEBeO1LL7S",NA,NA,"j1gpp563TOQ",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,j1gpp563TOQ","Private","HC II","Functional","Health Facilities","PFP"
"Aarapoo HC III","tt9yUB7IjHC",1.42831,33.22673,"aVQCbe80pl7",5,"akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD,tt9yUB7IjHC,aVQCbe80pl7","MOH","HC III","Functional","Health Facilities","GOV"
"Abaase Dispensary Clinic","WBLZTH5N3PI",NA,NA,"LBXgpCULyDB",5,"akV6429SUqu,Dl9WvtvDs5V,a0DfYpC2Rwl,WBLZTH5N3PI,LBXgpCULyDB","Private","Clinic","Non-Functional","Health Facilities","PFP"
"Abaita Medical Centre Clinic","nLs3FmRSZhO",0.09262,32.50057,"gqBr1S7L6yG",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,nLs3FmRSZhO,gqBr1S7L6yG","Private",NA,"Functional","Health Facilities","PFP"
"Abako HC III","i8gkuINdorl",2.14555,33.22367,"yDPmjwoOIxi",5,"akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT,i8gkuINdorl,yDPmjwoOIxi","MOH","HC III","Functional","Health Facilities","GOV"
"Abako-Elim HC II","RHEU4J1wJiy",2.12141,33.20304,"etPrOnArvd1",5,"akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT,RHEU4J1wJiy,etPrOnArvd1","UPMB","HC II","Functional","Health Facilities","PNFP"
"Abala HC III","FNqGR9apfAN",2.531,32.97643,"E9a1cflRJZf",5,"akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt,FNqGR9apfAN,E9a1cflRJZf","MOH","HC III","Functional","Health Facilities","GOV"
"Abalang HC II (Anyara Subcounty)","t89pNBmJnKW",1.98173,33.29895,"aQrkHdMfe12",5,"akV6429SUqu,r0GhWtmPHDj,KOnkIf4N6jA,t89pNBmJnKW,aQrkHdMfe12","Private","HC II","Functional","Health Facilities","PFP"
"Abalang HC II (Okwalongwen Subcounty)","lbIyDdBijdD",2.032713,33.244536,"UjMKFe4MIGj",5,"akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH,lbIyDdBijdD,UjMKFe4MIGj","MOH","HC II","Functional","Health Facilities","GOV"
"Abanya HC II","amLhY9BnViS",NA,NA,"hPIXVP3f1nP",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,amLhY9BnViS,hPIXVP3f1nP","MOH","HC II","Functional","Health Facilities","GOV"
"Abarilela HC III","YjjiR3pf7GD",1.962,33.81817,"IswqGyDbcgm",5,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy,YjjiR3pf7GD,IswqGyDbcgm","MOH","HC III","Functional","Health Facilities","GOV"
"Abbu Clinic","VzNo51e77c5",NA,NA,"eqXcVOLqXPI",5,"akV6429SUqu,JZhJ50nOirX,O9MoQcpZ4uA,VzNo51e77c5,eqXcVOLqXPI","Private","Clinic","Non-Functional","Health Facilities","PFP"
"Abc Clinic HC II","LYuMx5oPsR5",NA,NA,"QfL0LY9NZa1",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,QfL0LY9NZa1","Private","HC II","Functional","Health Facilities","PFP"
