"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"1","Abim District","2022W42","Karamoja",21,90.5,3795,NA,1298,2495,35690,365936,2495,1508,33,21
"2","Adjumani District","2022W42","West Nile",54,89.1,12286,NA,6649,11841,77533,6354399,10796,7970,691,395
"3","Agago District","2022W42","Acholi",43,69.8,9025,NA,5941,8406,115292,2288733,8417,6188,271,94
"4","Alebtong District","2022W42","Lango",21,81,3833,NA,1581,2981,22752,729448,2786,1987,195,111
"5","Amolatar District","2022W42","Lango",16,100,4413,NA,3127,3722,64697,86062,3553,2776,169,117
"6","Amudat District","2022W42","Karamoja",13,76.9,1532,NA,511,1217,11272,372044,1118,488,76,47
"7","Amuria District","2022W42","Teso",27,84.6,4346,NA,1981,3279,179293,550232,2823,1598,465,198
"8","Amuru District","2022W42","Acholi",36,65.6,6278,NA,4092,5186,16549,489812,5148,4019,3,NA
"9","Apac District","2022W42","Lango",53,72.7,6851,1,3712,4447,43829,877315,3936,2638,511,404
"10","Arua City","2022W42","West Nile",57,72.7,2339,NA,768,1634,22875,9597940,1079,552,516,127
"11","Arua District","2022W42","West Nile",10,80,1166,NA,506,859,16075,1052749,852,444,7,3
"12","Budaka District","2022W42","Bukedi",24,94.1,4538,NA,2844,3296,73620,245536,3265,2482,32,24
"13","Bududa District","2022W42","Bugisu",19,81.2,1930,1,322,1004,8324,141918,650,210,361,118
"14","Bugiri District","2022W42","Busoga",59,60,4294,NA,2277,3566,101866,580490,3400,2217,227,139
"15","Bugweri District","2022W42","Busoga",31,70,1928,1,1000,1731,14458,329964,1429,1023,323,203
"16","Buhweju District","2022W42","Ankole",20,90,1116,NA,66,216,1659,30464,185,65,NA,NA
"17","Buikwe District","2022W42","North Central",81,56.9,8522,NA,1196,2678,38818,736889,2158,973,584,188
"18","Bukedea District","2022W42","Teso",22,75,3073,NA,2037,3044,198204,207679,2994,1872,38,19
"19","Bukomansimbi District","2022W42","South Central",28,85.2,2005,NA,723,1346,3209,107488,933,620,412,236
"20","Bukwo District","2022W42","Bugisu",23,36.8,398,NA,62,252,8740,95860,252,25,10,10
"21","Bulambuli District","2022W42","Bugisu",29,84.6,2157,NA,421,1448,21180,86810,1402,552,28,10
"22","Buliisa District","2022W42","Bunyoro",15,66.7,3207,NA,1970,2383,19567,344412,2280,1437,98,51
"23","Bundibugyo District","2022W42","Tooro",32,93.5,5252,NA,2355,3752,19381,1322359,3332,2372,398,214
"24","Bunyangabu District","2022W42","Tooro",36,93.9,2985,NA,746,1517,3451,39394,1269,599,219,129
"25","Bushenyi District","2022W42","Ankole",47,78.3,4014,NA,625,1902,38086,212422,1788,560,132,45
"26","Busia District","2022W42","Bukedi",37,44.1,2881,NA,775,1774,13687,197693,1448,888,311,124
"27","Butaleja District","2022W42","Bukedi",33,80,6724,1,2236,3813,18039,1075738,2582,1835,855,695
"28","Butambala District","2022W42","South Central",24,91.7,2440,NA,1132,1658,14971,534208,1351,895,335,178
"29","Butebo District","2022W42","Bukedi",11,90.9,1677,NA,1037,1414,2105,160432,842,730,573,367
"30","Buvuma District","2022W42","North Central",14,100,1278,NA,391,897,14967,72582,655,328,221,75
"31","Buyende District","2022W42","Busoga",27,96.3,3708,NA,1339,2407,39638,95350,2335,1305,74,50
"32","Dokolo District","2022W42","Lango",24,72.2,3485,NA,2232,3003,75942,716215,2501,1888,506,301
"33","Fort Portal City","2022W42","Tooro",28,96.3,3859,3,238,1059,7652,307045,729,231,319,79
"34","Gomba District","2022W42","South Central",22,61.9,1042,NA,519,997,4204,47712,593,331,404,205
"35","Gulu City","2022W42","Acholi",50,52.4,6421,1,989,2079,42870,631875,1696,804,420,131
"36","Gulu District","2022W42","Acholi",24,91.7,4466,NA,2961,3739,36236,344836,3697,2809,67,55
"37","Hoima City","2022W42","Bunyoro",22,65,2994,3,235,652,5827,195400,433,195,191,62
"38","Hoima District","2022W42","Bunyoro",21,89.5,2526,NA,785,1454,14307,761858,995,576,459,174
"39","Ibanda District","2022W42","Ankole",67,63.8,3064,NA,996,2414,25892,1942772,2198,1338,201,62
"40","Iganga District","2022W42","Busoga",57,97.8,8094,1,3612,5972,191874,880872,5349,3390,725,350
"41","Isingiro District","2022W42","Ankole",80,88.9,7941,NA,1184,4047,106495,1025705,3846,1360,98,28
"42","Jinja City","2022W42","Busoga",65,66.7,4939,NA,671,2571,19644,174160,1521,465,1049,246
"43","Jinja District","2022W42","Busoga",43,45,2115,NA,758,1158,10042,33610,907,571,251,61
"44","Kaabong District","2022W42","Karamoja",27,96.3,2865,1,899,2539,112001,229178,2447,1121,91,55
"45","Kabale District","2022W42","Kigezi",66,84.7,5860,NA,106,1026,12326,91838,775,89,230,20
"46","Kabarole District","2022W42","Tooro",34,84.4,3282,NA,731,1689,10276,92499,1563,856,124,40
"47","Kaberamaido District","2022W42","Teso",16,100,5956,NA,2562,5034,7253,362824,4436,3290,550,302
"48","Kagadi District","2022W42","Bunyoro",40,60.5,2373,NA,809,1587,10568,204053,1519,988,30,21
"49","Kakumiro District","2022W42","Bunyoro",43,77.1,4307,NA,2211,3221,36443,1138445,2854,1936,346,169
"50","Kalaki District","2022W42","Teso",12,83.3,3404,NA,1282,1190,10559,82081,1024,739,156,96
"51","Kalangala District","2022W42","South Central",24,100,1858,NA,87,431,861,11194,236,63,183,32
"52","Kaliro District","2022W42","Busoga",35,81.5,3297,NA,2030,2862,7545,82184,2285,1633,613,412
"53","Kalungu District","2022W42","South Central",45,52.8,2371,NA,640,982,1477,12996,484,311,494,327
"54","Kampala District","2022W42","Kampala",1797,72,52694,5,2933,10888,17567,199608,5629,878,7556,1302
"55","Kamuli District","2022W42","Busoga",74,72.9,6960,NA,2585,3902,45635,166851,3536,2321,341,217
"56","Kamwenge District","2022W42","Tooro",41,74.3,6600,1,2704,4653,35840,2354260,4492,3000,142,55
"57","Kanungu District","2022W42","Kigezi",58,70.9,5482,NA,1257,2730,29438,181552,2473,1249,259,81
"58","Kapchorwa District","2022W42","Bugisu",36,66.7,1385,NA,104,377,3214,21911,323,68,53,19
"59","Kapelebyong District","2022W42","Teso",14,85.7,2341,NA,1248,2152,82368,1818511,2068,1255,93,50
"60","Karenga District","2022W42","Karamoja",10,80,1219,NA,614,964,16798,837810,962,628,1,1
"61","Kasese District","2022W42","Tooro",140,66.7,9078,NA,2375,5653,22430,1420818,4156,2049,1419,596
"62","Kassanda District","2022W42","North Central",35,57.1,2137,NA,1163,1239,9206,116813,997,700,240,129
"63","Katakwi District","2022W42","Teso",29,70.4,4680,NA,2165,4107,15625,710922,3720,2596,354,167
"64","Kayunga District","2022W42","North Central",90,72.5,5540,NA,1368,2920,37892,167742,2080,1138,1048,302
"65","Kazo District","2022W42","Ankole",35,60,1948,NA,985,1624,24740,603388,1543,940,119,96
"66","Kibaale District","2022W42","Bunyoro",30,93.3,2357,NA,935,1508,25662,284130,1289,790,214,91
"67","Kiboga District","2022W42","North Central",48,91.5,5210,NA,1692,2961,14168,689881,1921,1323,1038,451
"68","Kibuku District","2022W42","Bukedi",19,100,6883,2,5417,6988,172699,1682062,6811,5323,157,94
"69","Kikuube District","2022W42","Bunyoro",29,79.3,4678,NA,1705,3039,24648,451194,2538,1498,398,259
"70","Kiruhura District","2022W42","Ankole",29,88.9,3076,NA,766,1517,46461,264117,1445,703,79,22
"71","Kiryandongo District","2022W42","Bunyoro",41,71.4,2011,NA,943,1754,19166,706644,1540,876,199,64
"72","Kisoro District","2022W42","Kigezi",51,80.9,5468,NA,175,888,22346,269032,824,162,65,4
"73","Kitagwenda District","2022W42","Tooro",29,87.5,1694,NA,816,1110,5455,39968,1044,676,59,41
"74","Kitgum District","2022W42","Acholi",43,52.8,5049,NA,2772,4035,83092,781460,3818,2756,346,116
"75","Koboko District","2022W42","West Nile",25,80,3786,NA,1632,2831,44181,718560,2867,1728,74,31
"76","Kole District","2022W42","Lango",50,50,1821,NA,579,965,16571,133791,645,495,249,163
"77","Kotido District","2022W42","Karamoja",22,95.5,3338,NA,1682,2371,167611,1279739,2316,1536,55,30
"78","Kumi District","2022W42","Teso",35,100,6440,1,3517,5888,186853,1233351,4549,2952,1339,481
"79","Kwania District","2022W42","Lango",44,51.3,4138,NA,2480,3249,41594,349557,2882,2069,376,132
"80","Kween District","2022W42","Bugisu",27,77.8,1269,NA,200,670,2223,24670,626,238,36,26
"81","Kyankwanzi District","2022W42","North Central",32,100,1269,NA,468,807,4028,116485,384,271,431,197
"82","Kyegegwa District","2022W42","Tooro",39,50,5338,NA,2230,3175,37874,693772,3351,2013,287,106
"83","Kyenjojo District","2022W42","Tooro",54,74.5,3237,1,1468,2238,7354,386649,1937,1280,294,216
"84","Kyotera District","2022W42","South Central",92,100,7626,NA,2305,4082,29777,563773,2776,1674,1276,649
"85","Lamwo District","2022W42","Acholi",32,83.9,7973,1,5201,7273,39214,1983214,7025,5183,119,73
"86","Lira City","2022W42","Lango",42,76,4288,NA,719,1360,18483,693456,981,547,379,158
"87","Lira District","2022W42","Lango",16,100,2212,NA,1187,1559,13579,236788,1219,955,320,238
"88","Luuka District","2022W42","Busoga",45,90.7,3478,NA,2328,3475,70632,352283,3012,2054,464,267
"89","Luwero District","2022W42","North Central",101,58.2,6777,NA,1509,3382,22344,4169391,1431,813,2033,880
"90","Lwengo District","2022W42","South Central",49,64.3,4277,NA,1462,2351,11926,133972,1620,909,731,384
"91","Lyantonde District","2022W42","South Central",50,95.8,2815,NA,724,1543,9505,166040,1356,785,187,50
"92","Madi-Okollo District","2022W42","West Nile",19,78.9,4044,NA,2503,3443,177991,1137930,3354,2430,94,65
"93","Manafwa District","2022W42","Bugisu",13,58.3,1011,NA,551,411,1853,16872,74,41,323,189
"94","Maracha District","2022W42","West Nile",18,77.8,3768,NA,2341,3285,305245,1760326,3151,2210,135,66
"95","Masaka City","2022W42","South Central",43,53.6,2273,NA,205,525,8793,265578,428,165,97,36
"96","Masaka District","2022W42","South Central",20,100,1397,NA,360,670,3993,39146,320,165,350,195
"97","Masindi District","2022W42","Bunyoro",52,57.7,3910,NA,690,1841,25610,1041447,1568,699,279,81
